Family	ID	Photo	Population	Wing_length	Wing_size	Host_plant	Egg_date	Adult_eclose	Sex	Dev_Time
C30	3	1	Cat	1273	35255	Lotus	28-Apr	24-May	M	26
C34	4	2	Cat	1262	34386	Lotus	28-Apr	24-May	M	26
C35	5	3	Cat	1268	34448	Lotus	28-Apr	24-May	M	26
C35	6	4	Cat	1241	34094	Lotus	28-Apr	24-May	M	26
C35	7	5	Cat	1219	32133	Lotus	28-Apr	24-May	M	26
C35	8	6	Cat	1210	34167	Lotus	28-Apr	24-May	F	26
C8	9	7	Cat	1214	32302	Lotus	25-Apr	24-May	M	30
C1	10	8	Cat	1096	26934	Dor	25-Apr	24-May	M	29
C8	11	9	Cat	1187	33405	Dor	25-Apr	24-Jan	F	30
C30	12	10	Cat	1256	35381	Lotus	28-Apr	25-May	M	27
C30	13	11	Cat	1238	33341	Lotus	28-Apr	25-May	M	27
C30	14	14	Cat	1131	32003	Lotus	28-Apr	25-May	M	27
C35	15	15	Cat	1229	32877	Lotus	28-Apr	25-May	M	27
C25	16	broken	Cat	NA	NA	Lotus	28-Apr	25-May	M	27
C16	17	16	Cat	1231	33774	Lotus	26-Apr	25-May	M	29
C20	18	17	Cat	1299	35818	Lotus	26-Apr	25-May	M	29
C20	19	18	Cat	1245	34568	Lotus	26-Apr	25-May	M	29
C7	20	19	Cat	1235	35674	Lotus	25-Apr	26-May	M	31
C7	21	20	Cat	1296	39195	Lotus	25-Apr	26-May	F	31
C8	22	21	Cat	1235	33784	Lotus	25-Apr	25-May	M	31
C8	23	22	Cat	1202	33380	Lotus	25-Apr	25-May	M	31
C37	24	23	Cat	1219	32826	Lotus	28-Apr	26-May	M	28
C37	25	24	Cat	1090	24168	Lotus	28-Apr	26-May	M	28
C35	26	25	Cat	1229	34548	Lotus	28-Apr	26-May	F	28
C7	27	26	Cat	1226	33950	Lotus	25-Apr	26-May	M	31
C7	28	27	Cat	1177	31301	Lotus	25-Apr	26-May	M	31
C7	29	28	Cat	1247	38887	Lotus	25-Apr	26-May	F	31
C21	30	29	Cat	1273	36041	Lotus	27-Apr	26-May	M	29
C21	31	30	Cat	1250	35270	Lotus	27-Apr	26-May	M	29
C19	32	31	Cat	1243	33153	Lotus	26-Apr	26-May	M	30
C17	33	32	Cat	1194	32187	Lotus	26-Apr	26-May	M	30
C14	34	33	Cat	1125	26666	Lotus	26-Apr	26-May	M	30
C14	35	34	Cat	1188	31451	Lotus	26-Apr	26-May	F	30
C13	36	35	Cat	1104	26734	Dor	26-Apr	26-May	M	30
C9	37	36	Cat	1144	30004	Dor	25-Apr	26-May	M	31
C8	38	37	Cat	1120	28079	Dor	25-Apr	26-May	M	32
C8	39	38	Cat	1067	27627	Dor	25-Apr	26-May	F	32
C37	40	broken	Cat	NA	NA	Lotus	28-Apr	27-May	F	29
C37	41	39	Cat	1220	30661	Lotus	28-Apr	27-May	M	29
C35	42	40	Cat	1250	36504	Lotus	28-Apr	27-May	F	29
C25	43	41	Cat	1287	36025	Lotus	28-Apr	27-May	M	29
C32	44	42	Cat	1212	36449	Lotus	28-Apr	27-May	F	29
C16	45	43	Cat	1236	34274	Lotus	26-Apr	27-May	M	31
C16	46	44	Cat	1184	30754	Lotus	26-Apr	27-May	M	31
C8	47	45	Cat	1232	35538	Lotus	25-Apr	27-May	F	33
C8	48	broken	Cat	NA	NA	Lotus	25-Apr	27-May	F	33
C8	49	46	Cat	1271	38038	Lotus	25-Apr	27-May	F	33
C17	50	broken	Cat	NA	NA	Lotus	26-Apr	27-May	F	31
C21	51	47	Cat	1302	40130	Lotus	27-Apr	27-May	F	30
C14	52	broken	Cat	NA	NA	Lotus	26-Apr	27-May	M	31
C12	53	48	Cat	1170	30154	Dor	26-Apr	27-May	M	31
C8	54	49	Cat	1150	28446	Dor	25-Apr	27-May	M	33
C8	55	50	Cat	1144	31692	Dor	25-Apr	27-May	F	33
C7	56	51	Cat	1030	23121	Dor	25-Apr	27-May	M	32
C1	57	52	Cat	1070	25428	Dor	25-Apr	27-May	M	32
C1	58	53	Cat	1039	23354	Dor	25-Apr	27-May	F	32
C1	59	54	Cat	1034	24873	Dor	25-Apr	27-May	F	32
C29	60	55	Cat	1208	34209	Lotus	28-Apr	28-May	F	30
C30	61	56	Cat	1127	27610	Lotus	28-Apr	28-May	M	30
C30	62	57	Cat	1142	28660	Lotus	28-Apr	28-May	M	30
C37	63	58	Cat	1148	30375	Lotus	28-Apr	28-May	F	30
C37	64	59	Cat	1205	30018	Lotus	28-Apr	28-May	M	30
C37	65	broken	Cat	NA	NA	Dor	28-Apr	28-May	M	30
C37	66	60	Cat	1231	35033	Lotus	28-Apr	28-May	F	30
C34	67	61	Cat	1166	28959	Dor	28-Apr	28-May	M	30
C32	68	62	Cat	1148	32378	Lotus	28-Apr	28-May	F	30
C25	69	63	Cat	1220	36872	Lotus	28-Apr	28-May	F	30
C12	70	64	Cat	1139	30599	Dor	26-Apr	28-May	F	32
C12	71	65	Cat	1197	29976	Dor	26-Apr	28-May	M	32
C3	72	66	Cat	1110	27491	Dor	24-Apr	28-May	M	34
C4	73	67	Cat	1019	22212	Dor	25-Apr	28-May	M	33
C14	74	68	Cat	1083	27025	Dor	26-Apr	28-May	F	32
C14	75	69	Cat	1095	27324	Dor	26-Apr	28-May	F	32
C14	76	70	Cat	1049	24275	Dor	26-Apr	28-May	M	32
C7	77	71	Cat	1067	24976	Dor	25-Apr	28-May	F	33
C7	78	72	Cat	991	21037	Dor	25-Apr	28-May	M	33
C9	79	73	Cat	1148	30084	Dor	25-Apr	28-May	M	33
C9	80	74	Cat	1148	30570	Dor	25-Apr	28-May	F	33
C9	81	75	Cat	1142	30790	Dor	25-Apr	28-May	F	33
C19	82	76	Cat	1112	27438	Lotus	26-Apr	28-May	M	32
C7	83	77	Cat	1245	38379	Lotus	25-Apr	28-May	F	33
C19	84	78	Cat	1270	37412	Lotus	26-Apr	28-May	F	32
C8	85	79	Cat	1226	35428	Lotus	25-Apr	28-May	F	34
C19	86	80	Cat	1178	30881	Lotus	26-Apr	28-May	M	32
C19	87	81	Cat	1017	21895	Lotus	26-Apr	28-May	M	32
C29	88	82	Cat	1294	37649	Lotus	28-Apr	28-Jun	F	31
C37	89	83	Cat	1161	29372	Lotus	28-Apr	29-May	F	31
C32	90	84	Cat	1177	31894	Lotus	28-Apr	29-May	M	31
C32	91	85	Cat	1200	34850	Lotus	28-Apr	29-May	F	31
C33	92	86	Cat	1280	39389	Lotus	28-Apr	29-May	F	31
C34	93	87	Cat	1192	31152	Dor	28-Apr	29-May	M	31
C35	94	88	Cat	1149	29055	Dor	28-Apr	29-May	M	31
C35	95	broken	Cat	NA	NA	Dor	28-Apr	29-May	M	31
C35	96	89	Cat	1080	24522	Dor	28-Apr	29-May	M	31
C35	97	90	Cat	1156	29717	Dor	28-Apr	29-May	F	31
C21	98	91	Cat	1237	35933	Lotus	27-Apr	29-May	F	32
C20	99	92	Cat	1206	33308	Lotus	26-Apr	29-May	M	33
C13	100	93	Cat	1163	32196	Dor	26-Apr	29-May	F	33
C7	101	94	Cat	1057	26215	Dor	25-Apr	29-May	F	34
C14	102	95	Cat	1044	23793	Dor	26-Apr	29-May	M	33
C12	103	96	Cat	1125	30738	Dor	26-Apr	29-May	F	33
C35	104	97	Cat	1106	27586	Dor	28-Apr	30-May	M	32
C35	105	98	Cat	1182	31393	Dor	28-Apr	30-May	M	32
C35	106	99	Cat	1131	29166	Dor	28-Apr	30-May	F	32
C30	107	100	Cat	1148	27298	Dor	28-Apr	30-May	F	32
C34	108	101	Cat	1144	28876	Dor	28-Apr	30-May	M	32
C4	109	broken	Cat			Dor	25-Apr	30-May	F	35
C13	110	102	Cat	1131	27089	Dor	26-Apr	30-May	M	34
C15	111	103	Cat	1129	26400	Dor	30-Apr	30-May	M	30
C31	112	104	Cat	1181	31094	Dor	28-Apr	30-May	M	32
C31	113	105	Cat	1117	26426	Dor	28-Apr	30-May	M	32
C16	114	106	Cat	1172	30540	Dor	30-Apr	30-May	M	30
C25	115	107	Cat	1293	39684	Lotus	29-Apr	30-May	F	31
C30	116	108	Cat	1170	31184	Dor	28-Apr	30-May	F	32
C30	117	109	Cat	1161	32046	Dor	28-Apr	30-May	F	32
C34	118	110	Cat	1131	29225	Dor	28-Apr	30-May	M	32
C34	119	111	Cat	1209	32780	Dor	28-Apr	30-May	F	32
C35	120	112	Cat	1128	30017	Dor	29-Apr	30-May	F	31
C35	121	113	Cat	1094	27369	Dor	29-Apr	30-May	F	31
C9	122	114	Cat	1130	30343	Dor	25-Apr	30-May	F	35
C12	123	115	Cat	1145	29651	Dor	26-Apr	30-May	F	34
C8	124	116	Cat	1063	27288	Dor	25-Apr	30-May	F	36
C3	125	117	Cat	1172	31623	Dor	24-Apr	30-May	F	36
C7	126	118	Cat	933	19236	Dor	25-Apr	30-May	M	35
C20	127	119	Cat	1147	30367	Dor	30-Apr	30-May	M	30
C31	128	120	Cat	1159	29081	Dor	28-Apr	30-May	M	32
C20	129	121	Cat	1079	26622	Dor	30-Apr	30-May	M	30
C20	130	122	Cat	936	19236	Dor	30-Apr	30-May	M	30
C19	131	123	Cat	1300	38342	Lotus	26-Apr	30-May	F	34
C30	132	124	Cat	1184	32673	Dor	28-Apr	31-May	F	33
C30	133	125	Cat	1140	30569	Dor	28-Apr	31-May	F	33
C35	134	126	Cat	1149	27631	Dor	28-Apr	31-May	F	33
C34	135	127	Cat	1229	35137	Dor	28-Apr	31-May	F	33
C33	136	128	Cat	1161	29849	Dor	29-Apr	31-May	M	32
C32	137	129	Cat	1116	28552	Dor	29-Apr	31-May	M	32
C32	138	130	Cat	1094	27953	Dor	29-Apr	31-May	M	32
C33	139	131	Cat	1094	28558	Dor	29-Apr	31-May	F	32
C33	140	132	Cat	1016	23062	Dor	29-Apr	31-May	M	32
C33	141	133	Cat	1083	26334	Dor	29-Apr	31-May	M	32
C4	142	134	Cat	1123	30091	Dor	25-Apr	31-May	F	36
C15	143	135	Cat	1035	22983	Dor	30-Apr	31-May	M	31
C20	144	136	Cat	1153	30149	Dor	30-Apr	31-May	F	31
C20	145	137	Cat	1171	32484	Dor	30-Apr	31-May	F	31
C20	146	138	Cat	1150	31904	Dor	30-Apr	31-May	F	31
C20	147	139	Cat	1103	27262	Dor	30-Apr	31-May	M	31
C19	148	140	Cat	1211	34355	Lotus	26-Apr	31-May	F	35
C35	149	141	Cat	1045	23832	Dor	28-Apr	01-Jun	F	34
C37	150	142	Cat	1150	30216	Dor	28-Apr	01-Jun	F	34
C35	151	143	Cat	1086	27597	Dor	28-Apr	01-Jun	F	34
C25	152	144	Cat	1122	28562	Dor	28-Apr	01-Jun	M	34
