ID	DORYCNIUM	LOTUS	Population
38	1	5	Catalonia
37	4	17	Catalonia
36	0	0	Catalonia
35	5	16	Catalonia
34	2	10	Catalonia
33	10	6	Catalonia
32	22	12	Catalonia
31	10	1	Catalonia
30	13	13	Catalonia
29	5	5	Catalonia
25	15	15	Catalonia
20	9	0	Catalonia
19	0	0	Catalonia
16	5	2	Catalonia
15	11	3	Catalonia
01	0	28	Sweden
02	0	22	Sweden
03	0	12	Sweden
04	0	8	Sweden
05	6	22	Sweden
006	1	8	Sweden
007	0	29	Sweden
008	0	27	Sweden
0010	2	34	Sweden
0011	0	42	Sweden
101	0	19	Sweden_no_choice
102	4	10	Sweden_no_choice
103	17	11	Sweden_no_choice
104	6	1	Sweden_no_choice
105	5	4	Sweden_no_choice
106	13	26	Sweden_no_choice
107	0	28	Sweden_no_choice
108	1	29	Sweden_no_choice
109	0	3	Sweden_no_choice
1010	0	10	Sweden_no_choice
1011	0	26	Sweden_no_choice
