Sample_ID too_many_loci_reads_066 too_short_066 uniq_mapped_reads_066 too_many_loci_reads_03 too_short_03  uniq_mapped_reads_03 too_many_loci_reads_0 too_short_0  uniq_mapped_reads_0
P11917_101_S49/	2.87 	29.81 	67.09 	14.97 	1.58 	83.12 	15.63 	0.00 	84.03 
P11917_102_S50/	3.10 	29.84 	66.44 	14.08 	2.29 	82.72 	15.03 	0.00 	84.05 
P11917_103_S51/	2.36 	25.39 	72.18 	12.88 	0.76 	86.29 	13.26 	0.00 	86.67 
P11917_104_S52/	3.16 	24.16 	72.52 	12.55 	2.34 	84.92 	13.78 	0.00 	86.03 
P11917_105_S53/	3.11 	31.27 	65.11 	14.72 	2.60 	81.93 	15.83 	0.00 	83.43 
P11917_106_S54/	3.27 	25.98 	70.16 	12.31 	2.55 	84.27 	13.42 	0.00 	85.71 
P11917_107_S55/	2.58 	32.98 	64.19 	16.41 	2.18 	81.04 	17.39 	0.00 	82.25 
P11917_108_S56/	2.32 	27.06 	70.52 	13.66 	1.41 	84.83 	14.35 	0.00 	85.55 
P11917_109_S57/	2.79 	25.58 	71.29 	12.96 	1.87 	84.68 	13.81 	0.00 	85.71 
P11917_110_S58/	2.62 	23.52 	73.72 	12.15 	1.34 	86.37 	12.79 	0.00 	87.07 
P11917_111_S59/	2.89 	31.02 	65.96 	15.48 	1.78 	82.56 	16.30 	0.00 	83.52 
P11917_112_S60/	2.92 	34.13 	62.51 	16.58 	2.45 	80.31 	17.63 	0.00 	81.71 
P11917_113_S61/	3.64 	23.39 	72.82 	12.83 	2.26 	84.80 	14.08 	0.00 	85.80 
P11917_114_S62/	3.07 	30.62 	65.67 	14.40 	3.97 	80.69 	16.19 	0.00 	82.87 
P11917_115_S63/	2.40 	26.53 	70.99 	14.20 	0.71 	85.01 	14.53 	0.00 	85.39 
P11917_116_S64/	4.01 	22.04 	73.78 	12.54 	2.39 	84.85 	13.79 	0.00 	85.99 
P11917_117_S65/	2.90 	26.49 	70.54 	14.22 	1.55 	84.16 	14.95 	0.00 	84.98 
P11917_118_S66/	2.98 	34.36 	62.15 	16.42 	3.05 	79.79 	17.70 	0.00 	81.57 
P11917_119_S67/	2.47 	29.26 	68.03 	15.15 	1.57 	83.01 	15.87 	0.00 	83.86 
P11917_120_S68/	2.76 	28.11 	68.88 	14.38 	2.01 	83.27 	15.30 	0.00 	84.36 
P11917_121_S69/	2.10 	25.17 	72.65 	13.16 	1.61 	85.14 	14.00 	0.00 	85.91 
P11917_123_S70/	2.88 	27.77 	68.84 	13.29 	2.20 	83.73 	14.14 	0.00 	85.08 
P11917_124_S71/	2.70 	29.15 	67.98 	15.29 	1.01 	83.48 	15.71 	0.00 	84.07 
P11917_125_S72/	3.47 	20.56 	75.87 	11.04 	2.99 	85.86 	12.81 	0.00 	87.09 
P11917_126_S73/	3.67 	23.58 	72.68 	12.85 	1.27 	85.82 	13.48 	0.00 	86.46 
P11917_127_S74/	2.92 	30.35 	66.40 	14.62 	2.63 	82.24 	15.77 	0.00 	83.72 
P11917_128_S75/	2.45 	32.43 	64.91 	15.73 	3.78 	80.28 	17.76 	0.00 	82.02 
P11917_129_S76/	2.27 	24.58 	72.96 	12.91 	1.45 	85.41 	13.61 	0.00 	86.15 
P11917_130_S77/	2.26 	26.22 	71.40 	13.75 	1.63 	84.45 	14.60 	0.00 	85.23 
P11917_131_S78/	2.42 	28.36 	69.13 	14.79 	2.08 	83.04 	15.84 	0.00 	84.06 
P11917_132_S79/	2.86 	27.87 	69.15 	14.92 	1.12 	83.80 	15.41 	0.00 	84.44 
P11917_133_S80/	2.66 	24.85 	72.44 	13.44 	0.87 	85.64 	13.86 	0.00 	86.08 
P11917_134_S81/	4.26 	18.15 	77.42 	11.04 	2.13 	86.62 	12.20 	0.00 	87.59 
P11917_135_S82/	3.89 	18.49 	77.59 	10.87 	1.45 	87.64 	11.64 	0.00 	88.32 
P11917_136_S83/	3.10 	24.95 	71.84 	13.69 	1.16 	85.03 	14.24 	0.00 	85.64 
P11917_137_S84/	2.77 	36.86 	60.14 	15.93 	6.91 	76.88 	19.57 	0.00 	80.15 
P11917_138_S85/	2.33 	24.28 	73.31 	12.73 	0.80 	86.37 	13.09 	0.00 	86.81 
P11917_139_S86/	4.12 	25.55 	69.73 	12.92 	3.08 	83.05 	14.27 	0.00 	84.78 
P11917_140_S87/	3.91 	23.46 	72.47 	12.93 	1.53 	85.33 	13.66 	0.00 	86.13 
P11917_141_S88/	2.89 	31.88 	64.90 	16.03 	2.32 	81.19 	17.12 	0.00 	82.42 
P11917_142_S89/	3.14 	31.69 	64.61 	14.62 	2.74 	81.80 	15.78 	0.00 	83.38 
P11917_143_S90/	2.79 	23.60 	73.43 	12.07 	2.25 	85.40 	13.09 	0.00 	86.64 
P11917_144_S91/	4.23 	27.16 	68.18 	14.01 	2.51 	82.78 	14.96 	0.00 	84.34 
P11917_145_S92/	2.66 	24.40 	72.81 	13.16 	1.52 	85.15 	13.84 	0.00 	85.99 
P11917_146_S93/	2.49 	27.44 	69.98 	14.94 	1.36 	83.60 	15.60 	0.00 	84.29 
P11917_147_S94/	2.81 	26.82 	70.14 	14.04 	1.68 	83.94 	14.76 	0.00 	84.91 
P11917_148_S95/	2.51 	30.40 	66.83 	15.50 	2.04 	82.06 	16.44 	0.00 	83.16 
P11917_149_S96/	2.46 	23.88 	73.56 	12.96 	1.21 	85.70 	13.54 	0.00 	86.34 
P11917_150_S97/	3.12 	29.55 	67.00 	14.12 	2.77 	82.60 	15.23 	0.00 	84.26 
P11917_151_S98/	2.74 	28.19 	68.81 	13.88 	2.96 	82.78 	15.30 	0.00 	84.31 
P11917_152_S99/	2.74 	29.42 	67.47 	14.45 	2.75 	82.23 	15.63 	0.00 	83.80 
P11917_153_S100/	2.71 	24.77 	72.33 	12.63 	2.11 	84.99 	13.60 	0.00 	86.13 
P11917_154_S101/	3.26 	31.43 	64.84 	14.54 	3.57 	81.13 	15.94 	0.00 	83.30 
P11917_155_S102/	3.84 	22.35 	73.75 	12.14 	2.08 	85.72 	13.31 	0.00 	86.63 
P11917_156_S103/	3.29 	24.41 	72.18 	12.77 	1.46 	85.63 	13.41 	0.00 	86.45 
P11917_157_S104/	3.38 	32.15 	64.04 	14.04 	4.11 	81.19 	15.78 	0.00 	83.55 
P11917_158_S105/	2.82 	26.29 	70.74 	13.20 	2.17 	84.46 	14.32 	0.00 	85.51 
P11917_159_S106/	3.05 	27.16 	69.48 	12.86 	1.70 	84.99 	13.52 	0.00 	86.02 
P11917_160_S107/	3.03 	31.76 	65.04 	15.33 	3.17 	81.34 	16.89 	0.00 	82.94 
P11917_161_S108/	4.27 	21.23 	74.39 	11.75 	1.97 	86.08 	12.63 	0.00 	87.17 
P11917_162_S109/	2.06 	29.78 	68.08 	15.12 	1.02 	83.77 	15.64 	0.00 	84.27 
P11917_163_S110/	2.24 	34.31 	63.37 	17.39 	0.98 	81.54 	17.89 	0.00 	82.02 
P11917_164_S111/	2.21 	34.86 	62.84 	18.40 	1.13 	80.36 	18.89 	0.00 	81.01 
P11917_165_S112/	2.57 	34.85 	62.09 	15.30 	3.05 	80.93 	16.45 	0.00 	82.83 
P11917_166_S113/	2.73 	24.64 	72.45 	12.35 	1.90 	85.49 	13.19 	0.00 	86.55 
P11917_167_S114/	6.60 	30.80 	61.75 	16.07 	5.64 	77.04 	18.79 	0.00 	79.95 
P11917_168_S115/	3.86 	31.49 	63.98 	15.50 	2.74 	80.81 	16.65 	0.00 	82.39 
P11917_169_S116/	4.25 	21.42 	74.27 	12.57 	1.37 	86.01 	13.21 	0.00 	86.74 
P11917_170_S117/	5.24 	26.77 	67.76 	16.35 	1.91 	81.50 	17.26 	0.00 	82.50 
P11917_171_S118/	4.28 	33.29 	62.13 	14.59 	8.22 	76.84 	18.18 	0.00 	81.46 
P11917_172_S119/	6.96 	27.63 	64.99 	17.02 	4.21 	78.30 	19.05 	0.00 	80.48 
