baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
leptidea_sinapisG00000006389	4.48486920593588	1.57213362059265	0.425364654913718	3.6959667486043	0.00021905164326854	0.0418793969379812
leptidea_sinapisG00000014808	42.6297155429178	-2.50900457288046	0.63171565904523	-3.9717308522517	7.13523092853419e-05	0.0168854275703366
leptidea_sinapisG00000005091	14.7151846564589	-3.10940390186912	0.700228686816574	-4.44055486501888	8.97272243698598e-06	0.00357114352992042
leptidea_sinapisG00000005040	71.2240381390645	-7.00672729044884	1.26387122901496	-5.54386169223093	2.95872571644765e-08	3.73522757589173e-05
leptidea_sinapisG00000011566	16.0910062647159	-4.47078053558353	0.97735692145398	-4.57435808499981	4.77682257845443e-06	0.00246034461746747
leptidea_sinapisG00000014422	5.64393166195137	-2.80599352182883	0.70306489238971	-3.99108752577773	6.57709996528244e-05	0.016454024941718
leptidea_sinapisG00000010887	25.3580115224488	-2.73607631653102	0.664764397780249	-4.11585867965734	3.85740612718358e-05	0.0108953058224579
leptidea_sinapisG00000013327	6.25666106308657	-3.06972041182329	0.790492342144469	-3.88330189701227	0.00010304749270686	0.0214829487176492
leptidea_sinapisG00000003967	1241.77467566633	-4.72032848154119	0.84075855175569	-5.61436868133437	1.97281183398699e-08	3.45478808367803e-05
leptidea_sinapisG00000008059	543.222179444586	-3.02603079591332	0.716784416018376	-4.22167492524802	2.42493660605667e-05	0.00732163618021799
leptidea_sinapisG00000011509	39.3749441025182	-3.09701609741383	0.777643573792324	-3.98256502308719	6.81754640442113e-05	0.0165817878658643
leptidea_sinapisG00000001268	100.486642902272	-3.56861652329933	0.724777642134823	-4.92373980078637	8.49057170525195e-07	0.000571872660393739
leptidea_sinapisG00000006897	70.9944561607331	-3.22624876023629	0.731760939974836	-4.40888353558094	1.03904879794187e-05	0.00395561359773001
leptidea_sinapisG00000005996	1338.43693495283	-3.71741896095922	0.716940554567148	-5.18511463367225	2.1588203783665e-07	0.000192081083122339
leptidea_sinapisG00000014858	14.6105667647178	-2.59726646084384	0.702941991843168	-3.69485176726121	0.000220015104973405	0.0418793969379812
leptidea_sinapisG00000001416	52.4581163239827	-2.93463670016412	0.721738358613823	-4.06606724603139	4.78131446610588e-05	0.0130828717078822
leptidea_sinapisG00000003348	10.541716659232	-2.97071264763283	0.814657195170079	-3.64658001579747	0.000265753749726701	0.0465387966521399
leptidea_sinapisG00000003654	8.68706250987856	-3.08662601292022	0.70733263570302	-4.36375455778654	1.2784901386011e-05	0.00447778386143649
leptidea_sinapisG00000015256	84.0501557220926	-3.53291619877449	0.771804699095287	-4.5774743311563	4.70623516676494e-06	0.00246034461746747
leptidea_sinapisG00000000883	35.9711573456447	-1.86163557073908	0.507279240204054	-3.66984379252387	0.000242698731267033	0.0452142572547689
leptidea_sinapisG00000005910	9.14014895141496	-2.9787463150282	0.82308107881911	-3.6190193064599	0.000295721577983755	0.0497949641697261
leptidea_sinapisG00000001006	65.4646140672642	-3.42476116088223	0.872978058681112	-3.92307816539666	8.74247716461922e-05	0.020144507908791
leptidea_sinapisG00000005283	670.703085801169	-3.16453053643091	0.628305055376879	-5.03661479300484	4.73836991019398e-07	0.000345743057780487
leptidea_sinapisG00000006678	73.4238925870666	-5.69097488895223	0.990810229040781	-5.74375871599726	9.25977085831423e-09	2.90674728391016e-05
leptidea_sinapisG00000010222	502.650839644137	-3.81048903019337	0.824748176501211	-4.62018485006954	3.83398303317224e-06	0.00223802369589708
leptidea_sinapisG00000014721	42.7518432275806	-4.30258834156124	0.923322167938823	-4.65989931896265	3.16364089738213e-06	0.00197863140696271
leptidea_sinapisG00000001186	28.0429559112331	-5.65881199989443	0.987331086419841	-5.73142290132264	9.95916154834455e-09	2.90674728391016e-05
leptidea_sinapisG00000009486	87.9382621062203	-3.96819794968444	0.903030957690784	-4.39430998006077	1.11125156126011e-05	0.00405421611266396
leptidea_sinapisG00000007390	20.9103184266145	-4.50472998318467	0.776789772099449	-5.79916232806416	6.66469946015599e-09	2.90674728391016e-05
leptidea_sinapisG00000012212	7.92172341340538	-2.89248632961972	0.739975216000482	-3.90889622662421	9.27187786749316e-05	0.0202961406519425
leptidea_sinapisG00000006217	782.401554047972	-3.10268249622149	0.798437854540106	-3.88594112688785	0.000101934210014909	0.0214829487176492
leptidea_sinapisG00000002470	6.00246202992755	-2.67095903827748	0.718143839454919	-3.71925356945869	0.000199812384285029	0.039817650120178
leptidea_sinapisG00000014597	19.6731224690197	-3.92043559111501	0.862874724559486	-4.54345860358404	5.53386768638802e-06	0.00255023923484282
leptidea_sinapisG00000009612	59.0969897877159	-3.562823764411	0.782778517498817	-4.5515093794285	5.32624228725703e-06	0.00255023923484282
leptidea_sinapisG00000012823	5.20242592362536	-2.59705912903071	0.663549734567051	-3.91388767674699	9.08218961853929e-05	0.0202961406519425
leptidea_sinapisG00000004309	8.82924956712834	-2.99744087921106	0.71841418756231	-4.17230189924539	3.01537734610814e-05	0.00880088134750764
leptidea_sinapisG00000003947	185.169563849558	2.35108006376397	0.555658152121377	4.23116272979722	2.32486394342585e-05	0.00727018167451314
leptidea_sinapisG00000001164	1188.61801278371	-2.82100378259484	0.771579253256145	-3.6561426071138	0.00025603895503952	0.0457525936801233
leptidea_sinapisG00000000723	17.0331148404328	1.04684953450996	0.232647049819163	4.49973268658974	6.80389672774452e-06	0.00283690094038719
leptidea_sinapisG00000005232	10.6524972146977	3.10240954056137	0.767008612813566	4.04481708384083	5.23639922002856e-05	0.0138939125971424
leptidea_sinapisG00000012582	469.095059448945	-6.13613401841265	1.09265331433182	-5.61581055759212	1.95642920540153e-08	3.45478808367803e-05
leptidea_sinapisG00000014132	758.31911375193	-2.92116731729143	0.798835319683431	-3.65678287541048	0.000255400538118864	0.0457525936801233
leptidea_sinapisG00000000895	11.9180823062929	3.84282604925602	0.749762812816536	5.12538896777258	2.96924107497168e-07	0.000236351589567746
leptidea_sinapisG00000014011	1008.36762870632	-4.41963621701761	0.797444725893318	-5.54224772389913	2.98613442567863e-08	3.73522757589173e-05
leptidea_sinapisG00000010146	540.292295650765	-3.83869920888647	0.850077013075532	-4.5157075768915	6.31056966699602e-06	0.00276276740021086
leptidea_sinapisG00000014343	8.67972175423255	-2.64047531506192	0.654723541423391	-4.03296223215289	5.50781344270544e-05	0.0141842395600967
leptidea_sinapisG00000001831	25.1791182399333	-2.13094635078926	0.573003787329361	-3.71890447831264	0.000200088694071246	0.039817650120178
leptidea_sinapisG00000006528	63.2788970036391	-3.60503078798837	0.829033836591696	-4.34847243727625	1.37089043390435e-05	0.00461673716894865
leptidea_sinapisG00000001991	10.2619930076801	-3.50446576078151	0.820135249675002	-4.27303394430399	1.92831088117395e-05	0.0062534407687256
leptidea_sinapisG00000005734	57.5535265692496	-3.00340143225998	0.827621730263615	-3.62895429449796	0.000284571613276037	0.0488570401146075
leptidea_sinapisG00000008462	1118.8931972653	-4.91918125876057	0.895094630064047	-5.49571083719783	3.89139705003255e-08	4.25913407126063e-05
leptidea_sinapisG00000009305	142.79630656499	-3.88523730040963	0.749738084882294	-5.1821261034373	2.19370812154338e-07	0.000192081083122339
