baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
leptidea_sinapisG00000003000	45.330393271974	-0.426401296352605	0.654549002833436	-0.651442893514135	0.514760629418535	0.944940863245309
leptidea_sinapisG00000003002	77.376260266517	-0.0102104422990386	0.416590588433174	-0.0245095366590992	0.98044617684713	0.99988946873518
leptidea_sinapisG00000003004	28.2673423141342	0.545501921171401	0.453737799946076	1.20224041557972	0.229270394847892	0.852821386015004
leptidea_sinapisG00000003006	35.6469976777058	0.214611195237234	0.471728952365039	0.454945989982742	0.649148095436735	0.967658728883499
leptidea_sinapisG00000003007	80.8748766539495	0.1891700496862	0.546203111061632	0.346336455899195	0.729089874073103	0.978437266033553
leptidea_sinapisG00000008438	24.4792252148486	-0.776981148948639	0.461116651238066	-1.684999114351	0.091988742373479	0.721424180396149
leptidea_sinapisG00000015428	30.2686431617292	0.473795162642795	0.43251790890201	1.09543478522212	0.273326201611611	0.873767806293407
leptidea_sinapisG00000003009	89.7654508485538	0.535933021377533	0.819057484061213	0.654328947365408	0.512899900029787	0.944940863245309
leptidea_sinapisG00000006942	103.233237419666	0.62245234073515	0.651476369215558	0.95544883920294	0.339350765848262	0.902917645400171
leptidea_sinapisG00000001481	42.8746149296767	-0.718332657011664	0.537722441501856	-1.33588000345562	0.181588497890701	0.827334086863611
leptidea_sinapisG00000007433	128.102348391568	0.504039180965201	0.591771228893203	0.851746682426436	0.394354704639512	0.917622660646182
leptidea_sinapisG00000011131	10.2258935175687	0.90618892099787	0.662201413817469	1.36844908828246	0.171171547800579	0.818109116052963
leptidea_sinapisG00000011648	38.118824653127	0.0162152087055145	0.403734960726334	0.0401630036604774	0.967963172619399	0.99988946873518
leptidea_sinapisG00000011138	20.7794808999327	0.361238979035915	0.464759496095094	0.777260028188864	0.437005372743245	0.931095935805227
leptidea_sinapisG00000013490	26.4937437294205	-0.39786584056938	0.558867774282041	-0.711914085725386	0.476517979150866	0.940676684313899
leptidea_sinapisG00000001745	40.688315158008	-0.335916127279155	0.342695887689073	-0.980216394029013	0.326979313781343	0.900987479011712
leptidea_sinapisG00000001747	1276.67683328059	-2.66855616100623	1.57108084253775	-1.69854796058473	NA	NA
leptidea_sinapisG00000001746	10.7682683989851	-0.514751046144137	0.592273969919382	-0.869109689582007	0.384787137350157	0.917622660646182
leptidea_sinapisG00000001741	40.3000023122985	0.000109016595192499	0.39967828862552	0.00027276086366213	0.999782368320791	0.99988946873518
leptidea_sinapisG00000001743	45.7653780138027	0.170653765704695	0.684708034552038	0.249235815987383	0.803178376217661	0.990010225303536
leptidea_sinapisG00000000299	71.8560232168862	-0.0199431435344136	0.597525104921522	-0.0333762437262497	0.973374553865865	0.99988946873518
leptidea_sinapisG00000013494	19.2531296616575	-0.106435156646178	0.422812323089119	-0.251731444033015	0.801248650651896	0.990010225303536
leptidea_sinapisG00000000928	10.4465253682163	-1.53573807683223	0.86632396158514	-1.77270645270188	0.0762773613151618	0.703370731439751
leptidea_sinapisG00000000924	21.4453783047628	-0.120467857698642	0.37525976104954	-0.321025247582404	0.748191257905981	0.981744706087174
leptidea_sinapisG00000000295	22.8249394888893	0.165964456762609	0.518456920856785	0.320112337372875	0.748883173497065	0.98190099233121
leptidea_sinapisG00000000296	51.1827149562427	1.09417587743689	0.698395500938488	1.56669949329078	0.117184949297751	0.764538440503396
leptidea_sinapisG00000010942	135.65050326338	-0.133611263742853	0.405359311576773	-0.329611926819024	0.741693209508803	0.97982847091753
leptidea_sinapisG00000008524	24.4381630394042	-0.397075134065034	0.380634975880363	-1.04319140180601	0.296859654885423	0.887349692319017
leptidea_sinapisG00000001485	66.0221634415527	-0.513992138750841	0.43883138585385	-1.17127478872266	0.241488341858005	0.861572392092916
leptidea_sinapisG00000010512	31.6547388159634	-0.381117621823412	0.405556141711376	-0.939740722986373	0.347350571106377	0.906841423895172
leptidea_sinapisG00000010510	81.7536330041209	0.125546038546888	0.399450388046855	0.314296949768293	0.753295514670017	0.982552220672134
leptidea_sinapisG00000010516	13.8696641836083	-0.08545291068268	0.411141356229376	-0.207843140535358	0.835351446799907	0.991473637006386
leptidea_sinapisG00000010517	85.3477007812952	0.614239616468627	0.300253798615792	2.04573470610646	0.0407824791574555	0.630435680045674
leptidea_sinapisG00000010514	54.5836635032304	0.373781139147038	0.575611175338747	0.649363937256896	0.516103167899221	0.944940863245309
leptidea_sinapisG00000010515	59.4558714462979	-0.0183022162342999	0.397264861584955	-0.0460705640093113	0.963254007604699	0.99988946873518
leptidea_sinapisG00000010518	79.9803608910883	0.179365185829099	0.961273341033161	0.186591241192979	0.851981134653717	0.993992169234072
leptidea_sinapisG00000001528	12.5125088510171	-0.318823621366559	0.462756663447303	-0.688966030205777	0.490844644907524	0.94378885949635
leptidea_sinapisG00000001525	30.6349606545484	-0.502664017098653	0.410439132263916	-1.22469807965444	0.220688997949198	0.85040996905659
leptidea_sinapisG00000001526	208.68934372127	-0.573715313055292	0.370024170965363	-1.550480639031	0.12102619695008	0.769414396632906
leptidea_sinapisG00000014462	130.990793836692	0.146596469930301	0.478780380208105	0.306187295867432	0.759462044633382	0.982552220672134
leptidea_sinapisG00000014460	10.0451368070484	-0.391453917609692	0.506235608763595	-0.773264288076771	0.43936598613419	0.931706941827503
leptidea_sinapisG00000014466	692.016755719174	0.722756758369378	1.50539879393943	0.480109829554213	0.631149299132876	0.961712070622578
