baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
leptidea_sinapisG00000003005	10.9107797900458	1.2561215048621	0.854414651890076	1.4701544526225	0.141519927382496	0.880537446757795
leptidea_sinapisG00000001747	805.671672826916	-3.36380093050621	1.00406478936605	-3.35018314169752	0.00080758145873176	0.0770495223792519
leptidea_sinapisG00000010518	23.9816269494574	-1.47654779199323	1.05380128213431	-1.40116340435904	0.161165214940293	0.906815111382065
leptidea_sinapisG00000013529	13.3376153454509	-1.05512389976056	0.385213641865925	-2.73906161435424	0.00616148250777328	0.299448049877781
leptidea_sinapisG00000014808	60.0840397963917	-2.99349345813529	0.759970573597243	-3.93895969414434	8.18356753128191e-05	0.0164415958657834
leptidea_sinapisG00000005091	21.609709521193	-3.69467629808462	0.768833406348982	-4.8055616048603	1.54317710505799e-06	0.00104462067318818
leptidea_sinapisG00000013202	22.3888811037041	-1.09858575485407	0.422449875294274	-2.60051149047874	0.00930849016446356	0.383628477026597
leptidea_sinapisG00000009640	31.3580154516258	-1.69193997528392	0.682032802196915	-2.48073108776288	0.0131113245655219	0.44044450188416
leptidea_sinapisG00000012885	12.4339660886964	1.44252033164639	0.809237506719722	1.78256731758975	0.0746567639382819	0.773333714312654
leptidea_sinapisG00000011359	562.68412248502	-1.02970587063534	1.12753857997418	-0.913233381920219	0.361119810677013	0.972823602094429
leptidea_sinapisG00000008516	15.4027192263266	-1.45836495226052	0.76938293244552	-1.89549948505491	0.0580262598946645	0.75330803427635
leptidea_sinapisG00000011566	178.79962168309	-6.19032624004156	1.61629217170092	-3.82995497251411	0.000128166709042489	0.0202373483394624
leptidea_sinapisG00000000627	13.2024831992241	-1.94527777297426	0.737586919312512	-2.63735394709468	0.00835555979533647	0.363236881561485
leptidea_sinapisG00000008281	21.0219481118422	1.01576793880634	0.492223854701148	2.06363005186545	0.0390528060050038	0.70956169834494
leptidea_sinapisG00000003421	39.617666521147	-1.17713947865167	0.525064993257313	-2.24189289662813	0.0249682952501323	0.624769208359855
leptidea_sinapisG00000002069	22.7344642670331	-2.94599490984557	0.733630458585269	-4.01563876658913	5.92850033080643e-05	0.012213999485881
leptidea_sinapisG00000002060	65.8622213494043	-1.44137794977377	1.39656405474129	-1.03208867855387	0.30203057699847	0.965703838181204
leptidea_sinapisG00000001709	35.6782490383081	-1.28973301925957	0.757604494851328	-1.7023830085811	0.0886835931331838	0.793568260714561
leptidea_sinapisG00000011174	168.751542201803	1.11031739155084	0.917461082925943	1.21020652779063	0.226199653882064	0.927858161300502
leptidea_sinapisG00000015083	11.1494239387641	-1.18946884938785	0.584215731313264	-2.03600962047706	0.041749389235364	0.713549043668992
leptidea_sinapisG00000015332	34.3439040192551	-6.03963260479326	1.22876795218614	-4.91519378744208	8.86946818600524e-07	0.000646584230759782
