baseMean log2FoldChange lfcSE stat pvalue padj Cohort
leptidea_sinapisG00000014808 299.804357996071 -6.35997688736286 1.23989265082183 -5.12945768583055 2.90578076103882e-07 0.000646536219331137 catVm
leptidea_sinapisG00000007557 125.738848307779 4.66332604783106 1.21832715298117 3.82764681589851 0.000129374216181651 0.034891834061112 catVm
leptidea_sinapisG00000008341 22.5507190959298 -1.60687202712223 0.433686090496196 -3.70515002056845 0.000211265653645329 0.0403102160585643 catVm
leptidea_sinapisG00000012431 22.9942965405029 -1.19268589076936 0.285885826219469 -4.17189584576943 3.02075718974622e-05 0.0179231593258275 catVm
leptidea_sinapisG00000013362 19.3558579034589 -1.41245680253231 0.349901187394511 -4.03673052112216 5.42012662686712e-05 0.0236792581551621 catVm
leptidea_sinapisG00000012518 22.8240038941601 -1.14608601137324 0.318054091810183 -3.60343111717371 0.000314044000748161 0.0499835348626407 catVm
leptidea_sinapisG00000005244 17.2090189497166 -4.351566356647 1.15355518264278 -3.77230879122543 0.000161743908309799 0.0354690189906812 catVm
leptidea_sinapisG00000002686 252.456571179657 4.65248878795281 1.25633364838785 3.70322707978329 0.000212874174691295 0.0403102160585643 catVm
leptidea_sinapisG00000003917 471.541839275532 4.87347164815036 1.22936932568693 3.96420469123647 7.36410452695743e-05 0.0243725514022518 catVm
leptidea_sinapisG00000004533 32.9413910043417 -1.78411621950885 0.339333580546991 -5.25770605029108 1.45863422073964e-07 0.000432728152152761 catVm
leptidea_sinapisG00000001268 448.820341972933 -4.75439601884265 1.27072908522901 -3.74147099811273 0.000182946292297643 0.0370050454874777 catVm
leptidea_sinapisG00000011265 120.691174202375 -1.90640493064144 0.497499485757344 -3.83197367076535 0.000127119346326719 0.034891834061112 catVm
leptidea_sinapisG00000001066 20.0959369349301 -1.34326668697652 0.318122090855338 -4.22248792394412 2.41620348317304e-05 0.0165902273812016 catVm
leptidea_sinapisG00000006102 10.0295836877993 -1.6424793548778 0.386510077837748 -4.24951236476503 2.14236383828691e-05 0.0165902273812016 catVm
leptidea_sinapisG00000004830 14.0663405467653 -1.70766621186295 0.423228099806837 -4.03486019156651 5.46348192484333e-05 0.0236792581551621 catVm
leptidea_sinapisG00000012403 48.4970407089688 -1.1443199255304 0.315443111271459 -3.62765863206834 0.000286003056201752 0.0471375407443629 catVm
leptidea_sinapisG00000006678 55.0043406789487 -6.62377392777739 1.30451616235035 -5.0775713777615 3.82289908499418e-07 0.000680476037128964 catVm
leptidea_sinapisG00000006654 243.837699698616 -4.70235107226377 1.17614775050645 -3.99809553709466 6.3854179294819e-05 0.0236792581551621 catVm
leptidea_sinapisG00000003052 34.0930627243341 3.14858132508627 0.863779745866985 3.64512057634091 0.000267266463524295 0.0448805948182306 catVm
leptidea_sinapisG00000007001 13.0432146860018 -1.58117922248217 0.417391733846498 -3.78823798907257 0.000151719481962896 0.0354690189906812 catVm
leptidea_sinapisG00000013278 99.9936342948062 -1.27661140766126 0.294036161145493 -4.34168165809229 1.41396302603214e-05 0.0139048433310791 catVm
leptidea_sinapisG00000012441 208.974283111832 -1.35164327209792 0.357927299427347 -3.77630673676031 0.000159170956479921 0.0354690189906812 catVm
leptidea_sinapisG00000007603 1313.50796654885 4.37578966440958 0.987186469905121 4.43258674810458 9.31092214139127e-06 0.010677406554578 catVm
leptidea_sinapisG00000003650 14.3002882166123 -4.63472676594954 1.15659191459228 -4.00722736124554 6.14357162033747e-05 0.0236792581551621 catVm
leptidea_sinapisG00000004561 38.4003223683127 -1.04912499259128 0.208585288789625 -5.029717094044 4.91204056205099e-07 0.000728619350037563 catVm
leptidea_sinapisG00000004362 218.886672428008 -4.7895484657113 1.25064662824188 -3.82965768071857 0.000128321638493734 0.034891834061112 catVm
leptidea_sinapisG00000002967 54.0588175397251 -1.14972010124261 0.197793214021572 -5.81273784811049 6.1459268782429e-09 5.46987492163618e-05 catVm
