baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
leptidea_sinapisG00000008118	13.1868212325109	1.85668341777095	0.50231596463073	3.69624608514258	0.000218810888241704	0.0399767492817593
leptidea_sinapisG00000013360	104.598400083206	-1.03627637756737	0.277031402803744	-3.74064588735991	0.000183547970516461	0.0352991728561656
leptidea_sinapisG00000011566	68.5451498976634	-5.56530674290533	1.45425726792043	-3.82690660426518	0.000129763721245628	0.0287367659049408
leptidea_sinapisG00000001704	123.470791658897	-1.17200414667739	0.236556291916515	-4.95444081060845	7.25385925829983e-07	0.00088352005766092
leptidea_sinapisG00000000649	513.798053764352	-1.52405314063509	0.407073784506902	-3.7439235800488	0.000181168776076003	0.0352991728561656
leptidea_sinapisG00000009025	326.712587208895	-1.03565061369291	0.286850086438228	-3.61042461779397	0.00030569613994146	0.0488543787212506
leptidea_sinapisG00000000499	17.5148537059163	1.64537527873825	0.446750697103768	3.68298312549936	0.000230520424380699	0.0410888600335158
leptidea_sinapisG00000008208	10.3399784590569	-3.40043477906469	0.678381621973392	-5.01256913354009	5.37080693343845e-07	0.000784997141391364
leptidea_sinapisG00000002427	167.533101115202	5.71613596025752	1.5213774860598	3.7572108254748	0.000171817737079336	0.0352991728561656
leptidea_sinapisG00000001345	23.3965273759564	-2.13872939963785	0.385550243715892	-5.54721319593785	2.9025873396319e-08	0.00010606054139015
leptidea_sinapisG00000002998	42.0123873858398	-2.94371525350967	0.711201185579137	-4.13907529008487	3.48708506730064e-05	0.0106181740299305
leptidea_sinapisG00000015271	49.0963461684284	5.47548028332578	1.17817188349188	4.64743757684784	3.36083749147276e-06	0.00223281821706209
leptidea_sinapisG00000010427	19.9054574387764	-2.29267059113547	0.472508021798082	-4.85213051497188	1.22142195858544e-06	0.0012751645247632
leptidea_sinapisG00000001907	956.145290374437	-1.08223899533863	0.260326169291236	-4.15724242508977	3.22112126524719e-05	0.0102347626984463
leptidea_sinapisG00000009258	14.8096630142994	-2.88641217199196	0.549684685803842	-5.2510325401752	1.51248954679759e-07	0.000276331840199919
leptidea_sinapisG00000004999	10.0007673835381	-2.26698825157811	0.552376748770146	-4.10406168729135	4.05959141059746e-05	0.0118669976114585
leptidea_sinapisG00000005301	65.1533634017048	-5.55480795367452	1.39502388385621	-3.98187301160722	6.83743104341486e-05	0.0178456950233128
leptidea_sinapisG00000013252	12.9555839670978	-3.31256456432842	0.75026661760783	-4.41518319832794	1.00924483017461e-05	0.00436619736122181
leptidea_sinapisG00000009745	20.63559778661	4.18339325529967	0.999870301608914	4.18393590505496	2.86504920931962e-05	0.00951717255532172
leptidea_sinapisG00000014270	153.835039043179	5.65368934870034	1.30533675010142	4.33121135083425	1.48291254772483e-05	0.00541856244938653
leptidea_sinapisG00000014723	32.6130719567102	1.52977162927846	0.390062881607541	3.92185901661269	8.78684026168572e-05	0.0207142673007739
leptidea_sinapisG00000006355	38.0119071945435	-1.74744187952267	0.475394374944405	-3.67577315092763	0.000237130167332987	0.0412606491159397
leptidea_sinapisG00000006182	374.261473599141	-2.44183541746924	0.544984710866	-4.4805576537901	7.44482655038134e-06	0.00362711949534579
leptidea_sinapisG00000003485	19.9138899932732	-2.28600262786608	0.518274276096072	-4.41079701096786	1.02990832186262e-05	0.00436619736122181
