Sample_ID Raw_reads
P11917_101_S49_R1 8344427
P11917_101_S49_R2 8344427
P11917_102_S50_R1 8785548
P11917_102_S50_R2 8785548
P11917_103_S51_R1 9475551
P11917_103_S51_R2 9475551
P11917_104_S52_R1 8540925
P11917_104_S52_R2 8540925
P11917_105_S53_R1 8565551
P11917_105_S53_R2 8565551
P11917_106_S54_R1 12896044
P11917_106_S54_R2 12896044
P11917_107_S55_R1 9790042
P11917_107_S55_R2 9790042
P11917_108_S56_R1 8442603
P11917_108_S56_R2 8442603
P11917_109_S57_R1 9730432
P11917_109_S57_R2 9730432
P11917_110_S58_R1 9739621
P11917_110_S58_R2 9739621
P11917_111_S59_R1 9339605
P11917_111_S59_R2 9339605
P11917_112_S60_R1 8321308
P11917_112_S60_R2 8321308
P11917_113_S61_R1 8858570
P11917_113_S61_R2 8858570
P11917_114_S62_R1 11070574
P11917_114_S62_R2 11070574
P11917_115_S63_R1 14090070
P11917_115_S63_R2 14090070
P11917_116_S64_R1 13833268
P11917_116_S64_R2 13833268
P11917_117_S65_R1 10007203
P11917_117_S65_R2 10007203
P11917_118_S66_R1 9530761
P11917_118_S66_R2 9530761
P11917_119_S67_R1 11552295
P11917_119_S67_R2 11552295
P11917_120_S68_R1 11081195
P11917_120_S68_R2 11081195
P11917_121_S69_R1 9947785
P11917_121_S69_R2 9947785
P11917_123_S70_R1 12021534
P11917_123_S70_R2 12021534
P11917_124_S71_R1 13339408
P11917_124_S71_R2 13339408
P11917_125_S72_R1 14364975
P11917_125_S72_R2 14364975
P11917_126_S73_R1 11878432
P11917_126_S73_R2 11878432
P11917_127_S74_R1 11325091
P11917_127_S74_R2 11325091
P11917_128_S75_R1 9819672
P11917_128_S75_R2 9819672
P11917_129_S76_R1 14861977
P11917_129_S76_R2 14861977
P11917_130_S77_R1 14515716
P11917_130_S77_R2 14515716
P11917_131_S78_R1 10271425
P11917_131_S78_R2 10271425
P11917_132_S79_R1 13970952
P11917_132_S79_R2 13970952
P11917_133_S80_R1 13382818
P11917_133_S80_R2 13382818
P11917_134_S81_R1 13331729
P11917_134_S81_R2 13331729
P11917_135_S82_R1 16707613
P11917_135_S82_R2 16707613
P11917_136_S83_R1 15460974
P11917_136_S83_R2 15460974
P11917_137_S84_R1 8935136
P11917_137_S84_R2 8935136
P11917_138_S85_R1 11167306
P11917_138_S85_R2 11167306
P11917_139_S86_R1 11418005
P11917_139_S86_R2 11418005
P11917_140_S87_R1 14760225
P11917_140_S87_R2 14760225
P11917_141_S88_R1 13378438
P11917_141_S88_R2 13378438
P11917_142_S89_R1 12463251
P11917_142_S89_R2 12463251
P11917_143_S90_R1 13216825
P11917_143_S90_R2 13216825
P11917_144_S91_R1 13872739
P11917_144_S91_R2 13872739
P11917_145_S92_R1 9249137
P11917_145_S92_R2 9249137
P11917_146_S93_R1 9215363
P11917_146_S93_R2 9215363
P11917_147_S94_R1 12488004
P11917_147_S94_R2 12488004
P11917_148_S95_R1 13305222
P11917_148_S95_R2 13305222
P11917_149_S96_R1 13927572
P11917_149_S96_R2 13927572
P11917_150_S97_R1 12606843
P11917_150_S97_R2 12606843
P11917_151_S98_R1 14047262
P11917_151_S98_R2 14047262
P11917_152_S99_R1 14204574
P11917_152_S99_R2 14204574
P11917_153_S100_R1 9849335
P11917_153_S100_R2 9849335
P11917_154_S101_R1 11673581
P11917_154_S101_R2 11673581
P11917_155_S102_R1 14273334
P11917_155_S102_R2 14273334
P11917_156_S103_R1 12420765
P11917_156_S103_R2 12420765
P11917_157_S104_R1 11901881
P11917_157_S104_R2 11901881
P11917_158_S105_R1 14105489
P11917_158_S105_R2 14105489
P11917_159_S106_R1 18204250
P11917_159_S106_R2 18204250
P11917_160_S107_R1 11583001
P11917_160_S107_R2 11583001
P11917_161_S108_R1 15389161
P11917_161_S108_R2 15389161
P11917_162_S109_R1 10203409
P11917_162_S109_R2 10203409
P11917_163_S110_R1 13784577
P11917_163_S110_R2 13784577
P11917_164_S111_R1 18440161
P11917_164_S111_R2 18440161
P11917_165_S112_R1 14540502
P11917_165_S112_R2 14540502
P11917_166_S113_R1 17932387
P11917_166_S113_R2 17932387
P11917_167_S114_R1 15420375
P11917_167_S114_R2 15420375
P11917_168_S115_R1 12207701
P11917_168_S115_R2 12207701
P11917_169_S116_R1 15014177
P11917_169_S116_R2 15014177
P11917_170_S117_R1 13554314
P11917_170_S117_R2 13554314
P11917_171_S118_R1 15632445
P11917_171_S118_R2 15632445
P11917_172_S119_R1 13829138
P11917_172_S119_R2 13829138
