Sample	Prinseq
P11917_101_S49_prinseq_R1	7184162.0
P11917_101_S49_prinseq_R2	7184162.0
P11917_102_S50_prinseq_R1	7129112.0
P11917_102_S50_prinseq_R2	7129112.0
P11917_103_S51_prinseq_R1	7993949.0
P11917_103_S51_prinseq_R2	7993949.0
P11917_104_S52_prinseq_R1	7183367.0
P11917_104_S52_prinseq_R2	7183367.0
P11917_105_S53_prinseq_R1	7114758.0
P11917_105_S53_prinseq_R2	7114758.0
P11917_106_S54_prinseq_R1	11224035.0
P11917_106_S54_prinseq_R2	11224035.0
P11917_107_S55_prinseq_R1	7919001.0
P11917_107_S55_prinseq_R2	7919001.0
P11917_108_S56_prinseq_R1	6727947.0
P11917_108_S56_prinseq_R2	6727947.0
P11917_109_S57_prinseq_R1	8514770.0
P11917_109_S57_prinseq_R2	8514770.0
P11917_110_S58_prinseq_R1	8049594.0
P11917_110_S58_prinseq_R2	8049594.0
P11917_111_S59_prinseq_R1	7203168.0
P11917_111_S59_prinseq_R2	7203168.0
P11917_112_S60_prinseq_R1	7181149.0
P11917_112_S60_prinseq_R2	7181149.0
P11917_113_S61_prinseq_R1	7897883.0
P11917_113_S61_prinseq_R2	7897883.0
P11917_114_S62_prinseq_R1	8900477.0
P11917_114_S62_prinseq_R2	8900477.0
P11917_115_S63_prinseq_R1	12320939.0
P11917_115_S63_prinseq_R2	12320939.0
P11917_116_S64_prinseq_R1	10948777.0
P11917_116_S64_prinseq_R2	10948777.0
P11917_117_S65_prinseq_R1	8495551.0
P11917_117_S65_prinseq_R2	8495551.0
P11917_118_S66_prinseq_R1	7275588.0
P11917_118_S66_prinseq_R2	7275588.0
P11917_119_S67_prinseq_R1	9816903.0
P11917_119_S67_prinseq_R2	9816903.0
P11917_120_S68_prinseq_R1	8754937.0
P11917_120_S68_prinseq_R2	8754937.0
P11917_121_S69_prinseq_R1	7874287.0
P11917_121_S69_prinseq_R2	7874287.0
P11917_123_S70_prinseq_R1	9901763.0
P11917_123_S70_prinseq_R2	9901763.0
P11917_124_S71_prinseq_R1	11579048.0
P11917_124_S71_prinseq_R2	11579048.0
P11917_125_S72_prinseq_R1	12820920.0
P11917_125_S72_prinseq_R2	12820920.0
P11917_126_S73_prinseq_R1	10241317.0
P11917_126_S73_prinseq_R2	10241317.0
P11917_127_S74_prinseq_R1	8898949.0
P11917_127_S74_prinseq_R2	8898949.0
P11917_128_S75_prinseq_R1	7949386.0
P11917_128_S75_prinseq_R2	7949386.0
P11917_129_S76_prinseq_R1	13222572.0
P11917_129_S76_prinseq_R2	13222572.0
P11917_130_S77_prinseq_R1	12450120.0
P11917_130_S77_prinseq_R2	12450120.0
P11917_131_S78_prinseq_R1	7963397.0
P11917_131_S78_prinseq_R2	7963397.0
P11917_132_S79_prinseq_R1	11906606.0
P11917_132_S79_prinseq_R2	11906606.0
P11917_133_S80_prinseq_R1	10875130.0
P11917_133_S80_prinseq_R2	10875130.0
P11917_134_S81_prinseq_R1	11828552.0
P11917_134_S81_prinseq_R2	11828552.0
P11917_135_S82_prinseq_R1	15213410.0
P11917_135_S82_prinseq_R2	15213410.0
P11917_136_S83_prinseq_R1	13142630.0
P11917_136_S83_prinseq_R2	13142630.0
P11917_137_S84_prinseq_R1	7167261.0
P11917_137_S84_prinseq_R2	7167261.0
P11917_138_S85_prinseq_R1	8868225.0
P11917_138_S85_prinseq_R2	8868225.0
P11917_139_S86_prinseq_R1	10087414.0
P11917_139_S86_prinseq_R2	10087414.0
P11917_140_S87_prinseq_R1	12030835.0
P11917_140_S87_prinseq_R2	12030835.0
P11917_141_S88_prinseq_R1	11400424.0
P11917_141_S88_prinseq_R2	11400424.0
P11917_142_S89_prinseq_R1	9915990.0
P11917_142_S89_prinseq_R2	9915990.0
P11917_143_S90_prinseq_R1	11133960.0
P11917_143_S90_prinseq_R2	11133960.0
P11917_144_S91_prinseq_R1	11243873.0
P11917_144_S91_prinseq_R2	11243873.0
P11917_145_S92_prinseq_R1	7086056.0
P11917_145_S92_prinseq_R2	7086056.0
P11917_146_S93_prinseq_R1	7833762.0
P11917_146_S93_prinseq_R2	7833762.0
P11917_147_S94_prinseq_R1	10095161.0
P11917_147_S94_prinseq_R2	10095161.0
P11917_148_S95_prinseq_R1	11666888.0
P11917_148_S95_prinseq_R2	11666888.0
P11917_149_S96_prinseq_R1	12303565.0
P11917_149_S96_prinseq_R2	12303565.0
P11917_150_S97_prinseq_R1	9876650.0
P11917_150_S97_prinseq_R2	9876650.0
P11917_151_S98_prinseq_R1	10902569.0
P11917_151_S98_prinseq_R2	10902569.0
P11917_152_S99_prinseq_R1	11499827.0
P11917_152_S99_prinseq_R2	11499827.0
P11917_153_S100_prinseq_R1	7235629.0
P11917_153_S100_prinseq_R2	7235629.0
P11917_154_S101_prinseq_R1	10075653.0
P11917_154_S101_prinseq_R2	10075653.0
P11917_155_S102_prinseq_R1	12695658.0
P11917_155_S102_prinseq_R2	12695658.0
P11917_156_S103_prinseq_R1	11068474.0
P11917_156_S103_prinseq_R2	11068474.0
P11917_157_S104_prinseq_R1	9022760.0
P11917_157_S104_prinseq_R2	9022760.0
P11917_158_S105_prinseq_R1	11259499.0
P11917_158_S105_prinseq_R2	11259499.0
P11917_159_S106_prinseq_R1	14228071.0
P11917_159_S106_prinseq_R2	14228071.0
P11917_160_S107_prinseq_R1	9251096.0
P11917_160_S107_prinseq_R2	9251096.0
P11917_161_S108_prinseq_R1	13009114.0
P11917_161_S108_prinseq_R2	13009114.0
P11917_162_S109_prinseq_R1	8923838.0
P11917_162_S109_prinseq_R2	8923838.0
P11917_163_S110_prinseq_R1	11412662.0
P11917_163_S110_prinseq_R2	11412662.0
P11917_164_S111_prinseq_R1	16433969.0
P11917_164_S111_prinseq_R2	16433969.0
P11917_165_S112_prinseq_R1	12637416.0
P11917_165_S112_prinseq_R2	12637416.0
P11917_166_S113_prinseq_R1	15800046.0
P11917_166_S113_prinseq_R2	15800046.0
P11917_167_S114_prinseq_R1	11908173.0
P11917_167_S114_prinseq_R2	11908173.0
P11917_168_S115_prinseq_R1	10236931.0
P11917_168_S115_prinseq_R2	10236931.0
P11917_169_S116_prinseq_R1	13601430.0
P11917_169_S116_prinseq_R2	13601430.0
P11917_170_S117_prinseq_R1	12053302.0
P11917_170_S117_prinseq_R2	12053302.0
P11917_171_S118_prinseq_R1	13826152.0
P11917_171_S118_prinseq_R2	13826152.0
P11917_172_S119_prinseq_R1	12149039.0
P11917_172_S119_prinseq_R2	12149039.0
