Sample_ID Raw_reads  TrimGalore  Prinseq  CutAdapt  Condetri  SortMeRNA  Map_lept_rep  Mapped_lept one_hit mult_hits
P11917_101_S49_R1 8344427 7887426.0 7184162.0 6964984.0 6853807.0 6649051.0 0.93 96.08 60.27 30.74
P11917_101_S49_R2 8344427 7887426.0 7184162.0 6964984.0 6853807.0 6649051.0 0.89 95.68 60.24 30.20
P11917_102_S50_R1 8785548 8099974.0 7129112.0 6946045.0 6816232.0 6463885.0 0.63 92.13 55.79 30.49
P11917_102_S50_R2 8785548 8099974.0 7129112.0 6946045.0 6816232.0 6463885.0 0.61 91.95 54.84 30.92
P11917_103_S51_R1 9475551 8878526.0 7993949.0 7710068.0 7579780.0 7358189.0 0.62 98.48 63.59 28.85
P11917_103_S51_R2 9475551 8878526.0 7993949.0 7710068.0 7579780.0 7358189.0 0.62 97.99 63.55 28.11
P11917_104_S52_R1 8540925 7969623.0 7183367.0 7029111.0 6910554.0 6407226.0 0.9 96.15 60.89 30.39
P11917_104_S52_R2 8540925 7969623.0 7183367.0 7029111.0 6910554.0 6407226.0 0.87 95.68 60.97 29.65
P11917_105_S53_R1 8565551 7962101.0 7114758.0 7028402.0 6904208.0 5416797.0 0.54 92.88 56.55 30.81
P11917_105_S53_R2 8565551 7962101.0 7114758.0 7028402.0 6904208.0 5416797.0 0.51 92.32 56.29 30.38
P11917_106_S54_R1 12896044 12260039.0 11224035.0 10953978.0 10762221.0 9501973.0 0.68 91.73 57.03 29.14
P11917_106_S54_R2 12896044 12260039.0 11224035.0 10953978.0 10762221.0 9501973.0 0.63 90.92 56.78 28.35
P11917_107_S55_R1 9790042 8941702.0 7919001.0 7754868.0 7620653.0 7369993.0 0.6 95.37 59.36 30.25
P11917_107_S55_R2 9790042 8941702.0 7919001.0 7754868.0 7620653.0 7369993.0 0.56 94.86 59.60 29.41
P11917_108_S56_R1 8442603 7676231.0 6727947.0 6566045.0 6442542.0 6286783.0 1.11 97.54 67.56 27.56
P11917_108_S56_R2 8442603 7676231.0 6727947.0 6566045.0 6442542.0 6286783.0 1.05 96.75 68.09 26.33
P11917_109_S57_R1 9730432 9239029.0 8514770.0 8327753.0 8189858.0 7784364.0 0.72 95.25 60.18 29.63
P11917_109_S57_R2 9730432 9239029.0 8514770.0 8327753.0 8189858.0 7784364.0 0.68 94.58 60.00 29.04
P11917_110_S58_R1 9739621 9000224.0 8049594.0 7824272.0 7686735.0 7525592.0 1.01 97.6 62.67 29.48
P11917_110_S58_R2 9739621 9000224.0 8049594.0 7824272.0 7686735.0 7525592.0 0.95 96.75 63.27 28.05
P11917_111_S59_R1 9339605 8400744.0 7203168.0 7083649.0 6951651.0 6466971.0 1.02 96.16 61.64 30.60
P11917_111_S59_R2 9339605 8400744.0 7203168.0 7083649.0 6951651.0 6466971.0 0.96 95.57 61.82 29.79
P11917_112_S60_R1 8321308 7860871.0 7181149.0 7077948.0 6965550.0 6322797.0 0.47 93.36 57.67 30.29
P11917_112_S60_R2 8321308 7860871.0 7181149.0 7077948.0 6965550.0 6322797.0 0.46 92.94 57.26 30.20
P11917_113_S61_R1 8858570 8541446.0 7897883.0 7451083.0 7324049.0 6938800.0 1.06 96.6 58.84 32.21
P11917_113_S61_R2 8858570 8541446.0 7897883.0 7451083.0 7324049.0 6938800.0 1.04 95.85 59.00 31.10
P11917_114_S62_R1 11070574 10100283.0 8900477.0 8756261.0 8594255.0 7609500.0 0.55 91.23 55.66 28.77
