Sample	L_sinapis-DNA-BLab	No_hits	Lotus_corniculatus-genomic-NCBI	23S_28S_LSU_rRNA_insecta-SILVA	Adapters_Illumina	Lotus_japonicus-genomic	16S_18S_SSU_rRNA_insecta-SILVA	5S_rRNA_Rfam-EMBL-EBI-all_species	5_8S_rRNA_Rfam-EMBL-EBI-all_species	Multiple_Genomes	Wolbachia-DNA-ensembl	Drosophila_ensembl	Human_ensembl	L_sinapis-repeats-BLab
P11917_101_S49_R1_001_SORTMERNA_CLEAN_screen	6051268.0	258648.0	2.0	0.0	0.0	1133.0	0.0	0.0	0.0	336893.0	24.0	375.0	677.0	31.0
P11917_101_S49_R2_001_SORTMERNA_CLEAN_screen	6013037.0	285244.0	0.0	0.0	0.0	1236.0	0.0	0.0	0.0	348471.0	25.0	340.0	679.0	19.0
P11917_102_S50_R1_001_SORTMERNA_CLEAN_screen	5577081.0	506768.0	0.0	0.0	0.0	198.0	0.0	0.0	0.0	378559.0	35.0	440.0	789.0	15.0
P11917_102_S50_R2_001_SORTMERNA_CLEAN_screen	5543666.0	518403.0	0.0	0.0	0.0	255.0	0.0	0.0	0.0	400426.0	34.0	374.0	715.0	12.0
P11917_103_S51_R1_001_SORTMERNA_CLEAN_screen	6802048.0	110372.0	0.0	0.0	0.0	188.0	0.0	0.0	0.0	444802.0	32.0	262.0	478.0	7.0
P11917_103_S51_R2_001_SORTMERNA_CLEAN_screen	6743974.0	147163.0	0.0	0.0	0.0	248.0	0.0	0.0	0.0	466137.0	35.0	228.0	393.0	11.0
P11917_104_S52_R1_001_SORTMERNA_CLEAN_screen	5848355.0	244756.0	0.0	0.0	0.0	244.0	0.0	0.0	0.0	311979.0	161.0	612.0	1105.0	14.0
P11917_104_S52_R2_001_SORTMERNA_CLEAN_screen	5806405.0	274869.0	0.0	0.0	0.0	443.0	0.0	0.0	0.0	323705.0	160.0	567.0	1070.0	7.0
P11917_105_S53_R1_001_SORTMERNA_CLEAN_screen	4732475.0	384050.0	0.0	0.0	0.0	156.0	0.0	0.0	0.0	299243.0	178.0	225.0	464.0	6.0
P11917_105_S53_R2_001_SORTMERNA_CLEAN_screen	4694998.0	414926.0	0.0	0.0	0.0	193.0	0.0	0.0	0.0	305832.0	183.0	217.0	448.0	0.0
P11917_106_S54_R1_001_SORTMERNA_CLEAN_screen	8187810.0	783912.0	0.0	0.0	0.0	221.0	0.0	0.0	0.0	527983.0	498.0	509.0	1030.0	10.0
P11917_106_S54_R2_001_SORTMERNA_CLEAN_screen	8089042.0	859928.0	0.0	0.0	0.0	302.0	0.0	0.0	0.0	550825.0	513.0	459.0	880.0	24.0
P11917_107_S55_R1_001_SORTMERNA_CLEAN_screen	6603732.0	340493.0	0.0	0.0	0.0	210.0	0.0	0.0	0.0	424493.0	12.0	323.0	703.0	27.0
P11917_107_S55_R2_001_SORTMERNA_CLEAN_screen	6559486.0	378080.0	0.0	0.0	0.0	288.0	0.0	0.0	0.0	431165.0	16.0	325.0	626.0	7.0
P11917_108_S56_R1_001_SORTMERNA_CLEAN_screen	5980187.0	150882.0	0.0	0.0	0.0	880.0	0.0	0.0	0.0	151955.0	100.0	1099.0	1659.0	21.0
P11917_108_S56_R2_001_SORTMERNA_CLEAN_screen	5936416.0	199919.0	0.0	0.0	0.0	1198.0	0.0	0.0	0.0	146628.0	100.0	950.0	1562.0	10.0
P11917_109_S57_R1_001_SORTMERNA_CLEAN_screen	6991002.0	368200.0	0.0	0.0	0.0	427.0	0.0	0.0	0.0	422960.0	76.0	675.0	990.0	34.0
P11917_109_S57_R2_001_SORTMERNA_CLEAN_screen	6931139.0	418798.0	0.0	0.0	0.0	583.0	0.0	0.0	0.0	432266.0	67.0	613.0	879.0	19.0
P11917_110_S58_R1_001_SORTMERNA_CLEAN_screen	6934543.0	179109.0	0.0	0.0	0.0	421.0	0.0	0.0	0.0	410268.0	33.0	429.0	728.0	61.0
P11917_110_S58_R2_001_SORTMERNA_CLEAN_screen	6872422.0	243076.0	0.0	0.0	0.0	619.0	0.0	0.0	0.0	408277.0	35.0	404.0	728.0	31.0
P11917_111_S59_R1_001_SORTMERNA_CLEAN_screen	5965623.0	244451.0	0.0	0.0	0.0	468.0	0.0	0.0	0.0	254315.0	407.0	709.0	986.0	12.0
P11917_111_S59_R2_001_SORTMERNA_CLEAN_screen	5924281.0	283900.0	0.0	0.0	0.0	529.0	0.0	0.0	0.0	256158.0	441.0	682.0	968.0	12.0
P11917_112_S60_R1_001_SORTMERNA_CLEAN_screen	5561343.0	418569.0	0.0	0.0	0.0	211.0	0.0	0.0	0.0	341398.0	81.0	452.0	722.0	21.0
P11917_112_S60_R2_001_SORTMERNA_CLEAN_screen	5529789.0	444492.0	0.0	0.0	0.0	299.0	0.0	0.0	0.0	346992.0	94.0	401.0	713.0	17.0
P11917_113_S61_R1_001_SORTMERNA_CLEAN_screen	6318350.0	233143.0	0.0	0.0	0.0	371.0	0.0	0.0	0.0	385057.0	62.0	563.0	931.0	323.0
P11917_113_S61_R2_001_SORTMERNA_CLEAN_screen	6251820.0	285184.0	0.0	0.0	0.0	467.0	0.0	0.0	0.0	399621.0	64.0	489.0	849.0	306.0
P11917_114_S62_R1_001_SORTMERNA_CLEAN_screen	6424582.0	664309.0	0.0	0.0	2.0	697.0	0.0	0.0	0.0	517748.0	1238.0	335.0	574.0	15.0
P11917_114_S62_R2_001_SORTMERNA_CLEAN_screen	6380360.0	693225.0	0.0	0.0	0.0	790.0	0.0	0.0	0.0	532984.0	1259.0	320.0	545.0	17.0
P11917_115_S63_R1_001_SORTMERNA_CLEAN_screen	10664912.0	164447.0	0.0	0.0	0.0	484.0	0.0	0.0	0.0	749495.0	145.0	522.0	758.0	66.0
P11917_115_S63_R2_001_SORTMERNA_CLEAN_screen	10595185.0	224668.0	0.0	0.0	0.0	681.0	0.0	0.0	0.0	758874.0	153.0	461.0	772.0	35.0
P11917_116_S64_R1_001_SORTMERNA_CLEAN_screen	8801808.0	411057.0	0.0	0.0	0.0	272.0	0.0	0.0	1.0	457382.0	86.0	478.0	802.0	49.0
P11917_116_S64_R2_001_SORTMERNA_CLEAN_screen	8737537.0	443941.0	0.0	0.0	0.0	286.0	0.0	0.0	0.0	488933.0	91.0	398.0	714.0	35.0
P11917_117_S65_R1_001_SORTMERNA_CLEAN_screen	7294963.0	227850.0	0.0	0.0	0.0	614.0	0.0	0.0	0.0	248111.0	714.0	1315.0	2875.0	31.0
P11917_117_S65_R2_001_SORTMERNA_CLEAN_screen	7268263.0	251957.0	0.0	0.0	0.0	762.0	0.0	0.0	0.0	251056.0	734.0	1207.0	2466.0	28.0
P11917_118_S66_R1_001_SORTMERNA_CLEAN_screen	5603293.0	504790.0	0.0	0.0	0.0	244.0	0.0	0.0	0.0	395267.0	144.0	484.0	799.0	12.0
P11917_118_S66_R2_001_SORTMERNA_CLEAN_screen	5576643.0	509994.0	0.0	0.0	0.0	341.0	0.0	0.0	0.0	416728.0	142.0	472.0	710.0	3.0
P11917_119_S67_R1_001_SORTMERNA_CLEAN_screen	8269590.0	309453.0	0.0	0.0	0.0	366.0	0.0	0.0	0.0	520797.0	14.0	539.0	784.0	40.0
P11917_119_S67_R2_001_SORTMERNA_CLEAN_screen	8228950.0	329477.0	0.0	0.0	1.0	528.0	0.0	0.0	0.0	541411.0	17.0	416.0	763.0	20.0
P11917_120_S68_R1_001_SORTMERNA_CLEAN_screen	7220362.0	373666.0	0.0	0.0	0.0	312.0	0.0	0.0	0.0	474298.0	76.0	662.0	1143.0	21.0
P11917_120_S68_R2_001_SORTMERNA_CLEAN_screen	7186220.0	382543.0	0.0	0.0	0.0	399.0	0.0	0.0	0.0	499773.0	84.0	497.0	1011.0	13.0
P11917_121_S69_R1_001_SORTMERNA_CLEAN_screen	6463911.0	171238.0	0.0	0.0	0.0	205.0	0.0	0.0	0.0	588797.0	25.0	360.0	712.0	21.0
P11917_121_S69_R2_001_SORTMERNA_CLEAN_screen	6410374.0	187134.0	0.0	0.0	0.0	258.0	0.0	0.0	0.0	626492.0	27.0	351.0	611.0	22.0
P11917_123_S70_R1_001_SORTMERNA_CLEAN_screen	7593036.0	607820.0	0.0	0.0	0.0	225.0	1.0	0.0	0.0	504912.0	258.0	654.0	1102.0	21.0
P11917_123_S70_R2_001_SORTMERNA_CLEAN_screen	7547344.0	644394.0	0.0	0.0	0.0	350.0	0.0	0.0	0.0	514176.0	264.0	519.0	972.0	10.0
P11917_124_S71_R1_001_SORTMERNA_CLEAN_screen	9407758.0	287384.0	0.0	0.0	0.0	273.0	0.0	0.0	0.0	602718.0	128.0	860.0	1338.0	44.0
P11917_124_S71_R2_001_SORTMERNA_CLEAN_screen	9345302.0	336826.0	0.0	0.0	0.0	420.0	0.0	0.0	0.0	616001.0	119.0	675.0	1128.0	32.0
P11917_125_S72_R1_001_SORTMERNA_CLEAN_screen	9855712.0	432053.0	0.0	0.0	0.0	366.0	0.0	0.0	0.0	675782.0	51.0	537.0	977.0	357.0
P11917_125_S72_R2_001_SORTMERNA_CLEAN_screen	9747360.0	518683.0	0.0	0.0	0.0	549.0	0.0	0.0	0.0	697403.0	42.0	530.0	887.0	381.0
P11917_126_S73_R1_001_SORTMERNA_CLEAN_screen	8747679.0	250523.0	0.0	1.0	0.0	1075.0	0.0	0.0	0.0	275296.0	78.0	1557.0	2374.0	60.0
P11917_126_S73_R2_001_SORTMERNA_CLEAN_screen	8664731.0	337742.0	0.0	0.0	0.0	1467.0	0.0	0.0	0.0	271213.0	71.0	1288.0	2052.0	79.0
P11917_127_S74_R1_001_SORTMERNA_CLEAN_screen	7203503.0	523023.0	0.0	0.0	0.0	299.0	0.0	0.0	0.0	443768.0	172.0	554.0	851.0	66.0
P11917_127_S74_R2_001_SORTMERNA_CLEAN_screen	7148224.0	560615.0	0.0	0.0	0.0	441.0	0.0	0.0	0.0	461454.0	178.0	500.0	793.0	31.0
P11917_128_S75_R1_001_SORTMERNA_CLEAN_screen	6043624.0	328742.0	0.0	0.0	0.0	316.0	0.0	0.0	0.0	389040.0	582.0	368.0	1536.0	41.0
P11917_128_S75_R2_001_SORTMERNA_CLEAN_screen	5997190.0	374062.0	0.0	0.0	0.0	387.0	0.0	0.0	0.0	390208.0	609.0	355.0	1409.0	29.0
P11917_129_S76_R1_001_SORTMERNA_CLEAN_screen	10011330.0	324061.0	0.0	0.0	0.0	470.0	0.0	0.0	0.0	795761.0	1101.0	470.0	2887.0	43.0
P11917_129_S76_R2_001_SORTMERNA_CLEAN_screen	9958607.0	350787.0	0.0	0.0	0.0	672.0	0.0	0.0	0.0	821651.0	1160.0	423.0	2810.0	13.0
P11917_130_S77_R1_001_SORTMERNA_CLEAN_screen	8718744.0	270555.0	0.0	0.0	0.0	253.0	0.0	0.0	0.0	775790.0	157.0	633.0	1164.0	44.0
P11917_130_S77_R2_001_SORTMERNA_CLEAN_screen	8650930.0	299857.0	0.0	0.0	0.0	362.0	0.0	0.0	0.0	814545.0	161.0	538.0	936.0	11.0
