GeneID	GeneName
leptidea_sinapisG00000013516	abcc3_2
leptidea_sinapisG00000007448	sdk_4
leptidea_sinapisG00000002406	sdk_2
leptidea_sinapisG00000002386	rps15aa
leptidea_sinapisG00000002721	cmtm4
leptidea_sinapisG00000014648	-
leptidea_sinapisG00000008599	mb21d2
leptidea_sinapisG00000001314	r
leptidea_sinapisG00000009748	glb1l2glb1
leptidea_sinapisG00000006569	-
leptidea_sinapisG00000007056	cntn3
leptidea_sinapisG00000011820	-
leptidea_sinapisG00000012835	nup155
leptidea_sinapisG00000011800	tsen34
leptidea_sinapisG00000012397	pdcd5
leptidea_sinapisG00000002368	lip3_3
leptidea_sinapisG00000005944	-
leptidea_sinapisG00000011387	npfr
leptidea_sinapisG00000010194	-
leptidea_sinapisG00000002774	-
leptidea_sinapisG00000015420	-
leptidea_sinapisG00000009725	5nuc
leptidea_sinapisG00000002182	smyd4
leptidea_sinapisG00000006933	oscp1
leptidea_sinapisG00000012518	nup210
leptidea_sinapisG00000014898	-
leptidea_sinapisG00000002323	hgo
leptidea_sinapisG00000008096	-
leptidea_sinapisG00000000747	caf1
leptidea_sinapisG00000005453	-
leptidea_sinapisG00000001946	tfam
leptidea_sinapisG00000007555	fzd5
leptidea_sinapisG00000012925	fz4
leptidea_sinapisG00000002103	reps1
leptidea_sinapisG00000012115	-
leptidea_sinapisG00000005261	gapdh1
leptidea_sinapisG00000003631	plcxd3
leptidea_sinapisG00000001856	f26l
leptidea_sinapisG00000005911	nadk
leptidea_sinapisG00000006503	-
leptidea_sinapisG00000008976	-
leptidea_sinapisG00000012956	-
leptidea_sinapisG00000013961	-
leptidea_sinapisG00000010266	-
leptidea_sinapisG00000003364	-
leptidea_sinapisG00000012136	-
leptidea_sinapisG00000002195	-
leptidea_sinapisG00000008741	-
leptidea_sinapisG00000007385	-
leptidea_sinapisG00000012057	-
leptidea_sinapisG00000011045	-
leptidea_sinapisG00000005907	-
leptidea_sinapisG00000010176	-
leptidea_sinapisG00000013678	-
leptidea_sinapisG00000000869	-
leptidea_sinapisG00000003755	-
leptidea_sinapisG00000002664	-
leptidea_sinapisG00000014758	-
leptidea_sinapisG00000002500	-
leptidea_sinapisG00000007872	-
leptidea_sinapisG00000010644	-
leptidea_sinapisG00000009703	-
leptidea_sinapisG00000002288	-
leptidea_sinapisG00000014233	-
leptidea_sinapisG00000003283	-
leptidea_sinapisG00000004504	-
leptidea_sinapisG00000006124	-
leptidea_sinapisG00000003224	-
leptidea_sinapisG00000015312	-
leptidea_sinapisG00000014328	-
leptidea_sinapisG00000000499	-
leptidea_sinapisG00000008703	-
leptidea_sinapisG00000006496	-
leptidea_sinapisG00000008786	-
leptidea_sinapisG00000009770	-
leptidea_sinapisG00000003542	-
leptidea_sinapisG00000002075	-
leptidea_sinapisG00000000617	-
leptidea_sinapisG00000007493	-
leptidea_sinapisG00000008677	-
leptidea_sinapisG00000008330	-
leptidea_sinapisG00000011368	-
leptidea_sinapisG00000003289	-
leptidea_sinapisG00000001341	-
leptidea_sinapisG00000004296	-
leptidea_sinapisG00000014353	-
leptidea_sinapisG00000011853	-
leptidea_sinapisG00000009154	-
leptidea_sinapisG00000013895	-
leptidea_sinapisG00000005851	-
leptidea_sinapisG00000013468	-
leptidea_sinapisG00000007469	-
leptidea_sinapisG00000000850	-
leptidea_sinapisG00000014278	hspb11
leptidea_sinapisG00000000771	nomo1
leptidea_sinapisG00000003987	cfap20
leptidea_sinapisG00000011103	stk3
leptidea_sinapisG00000004038	-
leptidea_sinapisG00000015295	-
leptidea_sinapisG00000012091	klp2
leptidea_sinapisG00000001379	alg14
leptidea_sinapisG00000005374	norpa
leptidea_sinapisG00000003210	elavl4
leptidea_sinapisG00000000088	slpr
leptidea_sinapisG00000011774	-
leptidea_sinapisG00000009259	-
leptidea_sinapisG00000009819	mpp5
leptidea_sinapisG00000000870	-
leptidea_sinapisG00000009106	-
leptidea_sinapisG00000011104	alplalppl2
leptidea_sinapisG00000005746	cyb5cyb5bcytb5-c
leptidea_sinapisG00000008124	mettl25
leptidea_sinapisG00000001529	-
leptidea_sinapisG00000012054	esr16
leptidea_sinapisG00000013838	-
leptidea_sinapisG00000007008	-
leptidea_sinapisG00000013145	-
leptidea_sinapisG00000000371	slc25a21
leptidea_sinapisG00000012089	pcnx1
leptidea_sinapisG00000015324	txn2_2
leptidea_sinapisG00000003003	elovl1elovl4
leptidea_sinapisG00000013622	elovl4_3
leptidea_sinapisG00000007400	-
leptidea_sinapisG00000011907	-
leptidea_sinapisG00000014595	-
leptidea_sinapisG00000010736	-
leptidea_sinapisG00000014650	-
leptidea_sinapisG00000011148	a1cf
leptidea_sinapisG00000004016	slc17a5
leptidea_sinapisG00000003779	ccap-r_2
leptidea_sinapisG00000011465	pyr5-6
leptidea_sinapisG00000007048	tbb2betatub60d
leptidea_sinapisG00000000879	acvr1
leptidea_sinapisG00000006303	cfap45
leptidea_sinapisG00000005622	slc25a26
leptidea_sinapisG00000002757	rhpn2
leptidea_sinapisG00000004398	lev-9
leptidea_sinapisG00000011485	osbpl6
leptidea_sinapisG00000007213	npepl1
leptidea_sinapisG00000014626	cotl1
leptidea_sinapisG00000001893	tp53rk
leptidea_sinapisG00000008386	cg5543
leptidea_sinapisG00000001601	mrpl39
leptidea_sinapisG00000007739	rd19c
leptidea_sinapisG00000003788	-
leptidea_sinapisG00000013907	scra_2
leptidea_sinapisG00000000193	pepck
leptidea_sinapisG00000000167	tret1_2
leptidea_sinapisG00000006158	pik3r4
leptidea_sinapisG00000007631	at1g75220_2
leptidea_sinapisG00000001225	smap2
leptidea_sinapisG00000008150	dennd6b
leptidea_sinapisG00000002629	timm23
leptidea_sinapisG00000000802	dscc1
leptidea_sinapisG00000009396	cebpg
leptidea_sinapisG00000015470	-
leptidea_sinapisG00000015391	-
leptidea_sinapisG00000004660	dysb
leptidea_sinapisG00000015098	-
leptidea_sinapisG00000000611	-
leptidea_sinapisG00000011599	-
leptidea_sinapisG00000015219	myro1_19
leptidea_sinapisG00000001120	-
leptidea_sinapisG00000001796	myro1bglu14
leptidea_sinapisG00000006784	lct_3
leptidea_sinapisG00000009177	fabg_3
leptidea_sinapisG00000000648	hsd3
leptidea_sinapisG00000015178	fabgpldh-t
leptidea_sinapisG00000011114	fabg_5
leptidea_sinapisG00000012536	-
leptidea_sinapisG00000002559	coa5
leptidea_sinapisG00000007566	cars2
leptidea_sinapisG00000009073	tmem39a
leptidea_sinapisG00000013706	mbtps2
leptidea_sinapisG00000005787	lyrm2
leptidea_sinapisG00000009548	-
leptidea_sinapisG00000007682	sobp
leptidea_sinapisG00000000547	gnb1l
leptidea_sinapisG00000008206	ext2
leptidea_sinapisG00000007805	-
leptidea_sinapisG00000001429	bs
leptidea_sinapisG00000007150	f40a3.3_2
leptidea_sinapisG00000005860	f40a3.3
leptidea_sinapisG00000002025	hdac3
leptidea_sinapisG00000004285	-
leptidea_sinapisG00000006185	cnga3
leptidea_sinapisG00000014487	-
leptidea_sinapisG00000014359	-
leptidea_sinapisG00000001202	lrsam1
leptidea_sinapisG00000013687	nas-13nas-4
leptidea_sinapisG00000001172	c3g
leptidea_sinapisG00000014560	cdc73_2
leptidea_sinapisG00000012199	cdc73
leptidea_sinapisG00000015448	slc7a9_3
leptidea_sinapisG00000015012	rab7a
leptidea_sinapisG00000005755	ge16371ga29083
leptidea_sinapisG00000013915	trmt6
leptidea_sinapisG00000000725	suclg2
leptidea_sinapisG00000003387	pmpca
leptidea_sinapisG00000004077	dare
leptidea_sinapisG00000011678	rps5_2
leptidea_sinapisG00000011762	-
leptidea_sinapisG00000013877	ap3m1
leptidea_sinapisG00000007017	-
