gene_id,P5052_202_S48,P5052_203_S49,P5052_204_S34,P5052_205_S35,P5052_210_S51,P5052_211_S52,P5052_212_S36,P5052_213_S53,P5052_218_S55,P5052_219_S56,P5052_220_S57,P5052_221_S58,P5052_226_S59,P5052_227_S38,P5052_233_S60,P5052_234_S61,P5052_235_S62,P7553_325_S10
leptidea_sinapisG00000003000,173,117,82,0,315,95,21,82,65,46,264,416,129,1117,564,821,374,189
leptidea_sinapisG00000003001,19,7,11,0,16,10,0,2,5,1,14,26,44,86,12,5,4,35
leptidea_sinapisG00000003002,136,152,142,68,277,70,18,33,155,38,137,369,710,995,371,380,291,602
leptidea_sinapisG00000003003,76,61,316,73,16,35,0,25,8,20,11,157,217,525,212,123,383,415
leptidea_sinapisG00000003004,250,246,554,59,189,178,5,195,250,125,102,289,398,1149,141,178,237,414
leptidea_sinapisG00000003005,169,132,448,185,87,129,57,282,51,47,178,395,353,1953,121,140,76,513
leptidea_sinapisG00000003006,284,203,90,11,210,76,15,71,84,69,211,284,380,647,113,108,117,508
leptidea_sinapisG00000003007,176,167,19,0,92,73,0,24,21,79,24,71,139,432,89,117,177,124
leptidea_sinapisG00000003008,24,20,5,0,31,16,0,24,24,23,20,74,14,26,9,0,11,24
leptidea_sinapisG00000014116,8,9,0,0,18,28,0,0,28,20,0,0,0,0,6,0,0,0
leptidea_sinapisG00000001483,648,476,0,0,296,653,0,11,85,196,0,0,0,0,0,0,0,0
leptidea_sinapisG00000013813,0,0,0,1,0,0,0,2,0,0,0,16,74,41,0,0,6,47
leptidea_sinapisG00000008384,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11569,9933,41190,0
leptidea_sinapisG00000008385,0,0,0,0,0,0,0,0,0,0,0,3,30,7,0,0,0,30
leptidea_sinapisG00000008523,49,26,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
leptidea_sinapisG00000001480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000003009,663,495,926,487,122,131,561,3753,137,110,7959,4230,1193,1899,514,709,4105,1540
leptidea_sinapisG00000004505,90,66,0,0,74,40,6,18,175,50,91,26,23,0,20,21,36,38
leptidea_sinapisG00000006942,368,255,469,55,174,156,32,219,89,82,1414,344,38,218,102,208,220,89
leptidea_sinapisG00000008520,7,11,170,33,8,3,24,205,5,7,1271,66,62,205,73,102,21,44
leptidea_sinapisG00000001481,109,102,57,0,71,59,0,37,47,33,72,99,49,162,40,46,27,45
leptidea_sinapisG00000007433,260,175,70,15,257,129,19,50,59,59,216,347,383,1243,73,78,252,371
leptidea_sinapisG00000011641,9,12,6,0,8,4,0,12,11,0,16,37,17,66,7,5,8,6
leptidea_sinapisG00000011640,7,7,38,0,0,0,0,0,3,0,40,2,5,0,127,12,119,0
leptidea_sinapisG00000011643,0,5,0,0,4,3,0,3,4,0,12,28,16,0,10,0,0,0
leptidea_sinapisG00000011134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
leptidea_sinapisG00000011133,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000011132,26,20,10,0,0,12,0,5,0,0,376,1421,0,0,3,2,0,0
leptidea_sinapisG00000011131,45,32,6,0,35,30,0,21,0,6,36,74,30,213,16,10,15,50
leptidea_sinapisG00000011130,19,22,8,15,29,12,12,4,0,2,19,50,20,35,47,13,18,4
leptidea_sinapisG00000011649,0,0,0,0,0,0,0,0,0,0,0,15,491,1884,0,0,2,451
leptidea_sinapisG00000011648,39,44,49,25,37,30,0,33,12,15,60,64,85,186,51,72,94,85
leptidea_sinapisG00000011139,569,563,800,193,456,693,195,419,306,398,315,566,518,965,565,355,250,1072
leptidea_sinapisG00000011138,52,61,47,0,58,28,0,35,4,4,66,124,93,341,34,41,34,86
leptidea_sinapisG00000008521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
leptidea_sinapisG00000013492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000006727,60,46,19,0,52,18,0,9,5,22,42,106,182,395,15,10,26,231
leptidea_sinapisG00000004769,92,84,196,0,99,89,22,123,30,40,349,195,193,627,252,261,241,112
leptidea_sinapisG00000013490,82,39,113,14,34,43,0,44,23,35,57,76,32,135,24,57,81,31
leptidea_sinapisG00000010276,0,0,0,0,0,0,7,138,0,0,2820,0,0,0,2,0,0,0
leptidea_sinapisG00000004612,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0
