Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
leptidea_sinapisG00000007448	sdk_4	scaffold_327	-	607	4423	0.000000	0.000000	0.000000
leptidea_sinapisG00000013516	abcc3_2	scaffold_2496	-	95	2390	0.508140	0.184845	0.258230
leptidea_sinapisG00000002406	sdk_2	scaffold_327	-	6265	32928	0.803782	0.292389	0.408471
leptidea_sinapisG00000000393	cpa2	scaffold_327	+	392938	407207	0.000000	0.000000	0.000000
leptidea_sinapisG00000006569	-	scaffold_327	+	409648	415762	9.729175	3.539152	4.944229
leptidea_sinapisG00000007056	cntn3	scaffold_327	+	421916	449952	5.109540	1.858682	2.596596
leptidea_sinapisG00000011820	-	scaffold_327	-	448095	452298	0.000000	0.000000	0.000000
leptidea_sinapisG00000012835	nup155	scaffold_327	-	454697	487171	20.777472	7.558157	10.558818
leptidea_sinapisG00000011800	tsen34	scaffold_327	+	488839	494664	10.232597	3.722281	5.200061
leptidea_sinapisG00000012397	pdcd5	scaffold_327	+	500147	501464	25.175936	9.158173	12.794055
leptidea_sinapisG00000002386	rps15aa	scaffold_327	+	108128	111503	1664.441650	605.468811	845.845703
leptidea_sinapisG00000002721	cmtm4	scaffold_327	+	166023	169266	15.626071	5.684248	7.940948
leptidea_sinapisG00000014648	-	scaffold_327	+	173247	191587	5.509379	2.004130	2.799788
leptidea_sinapisG00000002385	-	scaffold_327	+	209108	212252	0.000000	0.000000	0.000000
leptidea_sinapisG00000008599	mb21d2	scaffold_327	+	277675	281713	3.343932	1.216412	1.699339
leptidea_sinapisG00000001314	r	scaffold_327	-	281956	293144	16.938158	6.161541	8.607733
leptidea_sinapisG00000009748	glb1l2glb1	scaffold_327	-	307669	351686	31.838634	11.786501	16.465855
leptidea_sinapisG00000004009	va3	scaffold_241	-	17153	49494	0.000000	0.000000	0.000000
leptidea_sinapisG00000001744	-	scaffold_241	-	97114	134822	0.000000	0.000000	0.000000
leptidea_sinapisG00000008765	-	scaffold_241	-	244619	257244	0.000000	0.000000	0.000000
leptidea_sinapisG00000001434	-	scaffold_241	+	260543	271793	0.000000	0.000000	0.000000
leptidea_sinapisG00000010579	ceca_3	scaffold_241	-	278401	285708	2.151431	0.782619	1.093327
leptidea_sinapisG00000001703	ceca	scaffold_241	+	287574	288307	0.907202	0.330010	0.461027
leptidea_sinapisG00000011387	npfr	scaffold_241	-	406711	438105	0.944731	0.343662	0.480099
leptidea_sinapisG00000011775	-	scaffold_241	+	676097	702519	1.415488	0.514908	0.719331
leptidea_sinapisG00000006343	-	scaffold_241	-	715103	753565	0.757452	0.275536	0.384926
leptidea_sinapisG00000015420	-	scaffold_240	+	68288	68710	21.018913	7.645985	10.681515
leptidea_sinapisG00000002368	lip3_3	scaffold_327	+	511432	553230	543.256042	197.618576	276.075043
leptidea_sinapisG00000012531	lip3_10	scaffold_327	+	582373	593061	419.349365	152.545425	213.107422
leptidea_sinapisG00000005261	gapdh1	scaffold_240	+	544827	560006	0.198272	0.072125	0.100759
leptidea_sinapisG00000003631	plcxd3	scaffold_240	-	560025	569293	24.464897	8.899521	12.432715
leptidea_sinapisG00000012187	-	scaffold_240	+	656886	676315	0.000000	0.000000	0.000000
leptidea_sinapisG00000005911	nadk	scaffold_240	+	727031	741827	7.297378	2.654545	3.708424
leptidea_sinapisG00000001856	f26l	scaffold_240	+	583879	638487	76.156418	27.703186	38.701614
leptidea_sinapisG00000006503	-	scaffold_240	-	751503	759933	0.000000	0.000000	0.000000
leptidea_sinapisG00000008976	-	scaffold_243	+	38	13151	0.696897	0.253508	0.354153
leptidea_sinapisG00000012956	-	scaffold_243	-	24788	25569	24.960781	9.079906	12.684717
leptidea_sinapisG00000013961	-	scaffold_243	-	28210	46652	16.999062	6.183696	8.638683
leptidea_sinapisG00000009725	5nuc	scaffold_240	+	183755	264918	19.889898	8.222108	11.486363
