"","GeneName","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","amy",NA,NA,NA,NA,NA,NA,NA
"2","cg17633",NA,NA,NA,NA,NA,NA,NA
"3","jon99ci",NA,NA,NA,NA,NA,NA,NA
"4","lip1","leptidea_sinapisG00000000141",21.1111388350771,-2.28259711996931,0.614285904299388,-3.71585462728903,0.000202518001649255,0.0274180443089998
"5","lip3","leptidea_sinapisG00000000597",99.2420247518116,-2.76928443014041,0.74399438875267,-3.72218456483684,0.000197506566455538,0.0271270975405671
"6","110kd","leptidea_sinapisG00000003967",1911.970943533,-5.22064676928369,0.955932326856748,-5.46131417738531,4.72622781031624e-08,5.58794127445415e-05
"7","agap009593_4","leptidea_sinapisG00000010887",35.4773251743191,-3.3057274864726,0.749122026255099,-4.41280241484569,1.02041114740642e-05,0.00358164312739652
"8","ampm","leptidea_sinapisG00000006897",106.342041387119,-3.81490825626143,0.804099513530534,-4.74432354710853,2.09204245169496e-06,0.00120550540737446
"9","amyamy35amy2","leptidea_sinapisG00000015256",122.941427068601,-4.00412603463164,0.884153647226592,-4.52876719695922,5.93288223102403e-06,0.00255572385924612
"10","aper1_2","leptidea_sinapisG00000001416",75.2239250460897,-3.98538953793579,0.730111895202217,-5.45860102283633,4.79900784937015e-08,5.58794127445415e-05
"11","apn2","leptidea_sinapisG00000002069",22.7344642670331,-2.94599490984557,0.733630458585269,-4.01563876658913,5.92850033080643e-05,0.012213999485881
"12","apodlopap","leptidea_sinapisG00000011509",58.7189035930561,-3.42501717055139,0.876838955558305,-3.90609603832051,9.37992444718597e-05,0.0167723667898078
"13","bckdhb","leptidea_sinapisG00000011421",21.3164084781869,-1.44150492517052,0.368851254960481,-3.9080927766532,9.30275850909091e-05,0.0167723667898078
"14","cel_5","leptidea_sinapisG00000007178",10.028526357562,-3.15113085176326,0.756134245925941,-4.16742247655305,3.08063229892138e-05,0.00791425130361187
"15","cex-1","leptidea_sinapisG00000006688",98.6665856617268,-3.36252078650653,0.955331183490794,-3.51974356601637,0.000431964215927012,0.0476014520272127
"16","cex-1_3","leptidea_sinapisG00000014954",165.946504266556,-3.6480455510213,0.969851866258415,-3.76144613207279,0.000168933806472387,0.0250154013115439
"17","cex-2_2","leptidea_sinapisG00000005738",25.4692692495005,-2.12406679877836,0.555171422031462,-3.82596566481404,0.000130260446207366,0.0202373483394624
